SUM149_DMSO_12H_R	SUM149R_DMSO_12H_R	LOG2_FOLD_CHANGE	P_VALUE
CEP44	7.396795	7.140795	-0.0508155909459088	0.455925441849687
CEP55	56.92355	42.4249	-0.424114378217233	0.0580164880006496
CEP57	21.3307	21.72665	0.0265344339237627	0.262887794660505
CEP57L1	4.43856	5.3605	0.272275874578898	0.0459829372550075
CEP63	14.0744	18.1299	0.365297546885354	0.0420163559667005
CEP68	3.73273	4.098255	0.13477859615748	0.0478897475951347
CEP70	8.96708	5.62962	-0.671600725319711	0.0708041820633436
CEP72	3.671805	6.47311	0.817969577332737	0.0169805575731733
CEP76	10.7096	14.3324	0.420375616187731	0.0923360079112918
CEP78	27.66315	27.83285	0.0088231984839478	0.885092250559024
CEP85	22.3948	12.11055	-0.886899395613927	0.00217214108797803
CEP85L	1.467395	0.975966	-0.588354480237081	0.0716096076673148
CEP89	4.752175	5.39283	0.182454591290004	0.228185760630228
CEP95	14.283	16.91215	0.243761042948167	0.189051509012396
CEP97	4.45747	3.22769	-0.46572306496596	0.132885558259738
CEPT1	20.1672	21.66315	0.103232242832057	0.374769969157163
CERCAM	13.6662	8.451565	-0.69332172627833	0.0845914547686043
CERK	18.26555	15.29145	-0.256399980185904	0.0732496296188652
CERS1	1.111955	0.394387	-1.49541450172768	0.0870086721605947
CERS2	75.2795	68.31915	-0.139967020215554	0.0537839093549713
CERS4	2.341825	0.1060565	-4.46472832137969	0.0212156397885503
CERS5	12.9336	12.4323	-0.0570306751663581	0.576219360167306
CERS6	5.670915	4.688185	-0.274552031322156	0.104879833164287
CERS6-AS1	8.71669	7.32071	-0.251796827273276	0.0063463353622077
CES1	0.01457855	15.6476	10.0678784462579	0.0115608027528572
CES2	18.25775	13.8455	-0.399091830837916	0.0527953571358444
CES3	1.544245	2.317875	0.585901106264933	0.0181982732318119
CES4A	1.42837	1.563625	0.130524817950473	0.40031372325079
CETN2	85.02975	77.04345	-0.142295387764938	0.453378162952533
CETN3	44.0505	41.97215	-0.0697260283395136	0.286087780072898
CFB	4.85782	6.707255	0.465413418409554	0.0170714373622378
CFD	1.943295	2.710935	0.480285597678408	0.118986638985913
CFDP1	19.559	28.36925	0.536495399489428	0.0963101648444096
CFH	1.06328	0.173207	-2.61795241903911	0.0110348611555746
CFL1	819.118	784.9905	-0.0613961031857021	0.58039220611947
CFL2	14.70385	12.6471	-0.217387343700519	0.136726235431586
CFLAR	11.17435	11.8633	0.0863144646478	0.323021910959648
CFLAR-AS1	0.8694585	1.186625	0.44867500993812	0.291839871311161
CGGBP1	17.4832	19.51505	0.158617889548116	0.0717764451365468
CGN	5.3564	4.218705	-0.344463492632613	0.126446385481934
CGREF1	4.279555	5.32656	0.315743323136362	0.282702694570775
CGRRF1	12.68995	15.6488	0.302365646142416	0.235792414617834
CHAC1	2.487855	7.60317	1.61169864566559	0.00181244908495325
CHAC2	31.03965	29.46955	-0.074887259253023	0.503232577095623
CHAF1A	27.4849	40.63545	0.564099640522653	0.00903183149883919
CHAF1B	23.6308	20.3536	-0.215384480615002	0.0197611704412332
CHAMP1	12.9997	12.32705	-0.0766507418109555	0.536070070058363
CHCHD1	47.8544	40.9353	-0.225306111863422	0.301617193496278
CHCHD10	43.2999	34.85595	-0.312958744232162	0.233848694585192
CHCHD2	941.0825	865.8405	-0.120219917655936	0.230711511402511
CHCHD3	44.61755	69.49825	0.639365354780318	0.081244064432594
CHCHD4	39.9626	48.47165	0.278490744301124	0.213756715009845
CHCHD5	20.08085	21.4675	0.0963338535196229	0.545241621101533
CHCHD6	20.7494	21.5925	0.0574606702491927	0.408918746023804
CHCHD7	17.9387	17.67135	-0.0216630847902166	0.822380283460449
CHD1	14.67895	18.7591	0.353841839294187	0.0963677168778159
CHD1L	26.69925	20.0309	-0.41457197246696	0.0326430326320207
CHD2	14.45805	15.3663	0.0878968402700774	0.505059831035752
CHD3	39.11865	29.96085	-0.384778029025723	0.0166726985002053
CHD4	62.433	68.89525	0.142095728255996	0.205829247281533
CHD6	6.19895	4.780125	-0.374975522328696	0.260211825903381
CHD7	4.98589	4.48208	-0.153682654533871	0.292708374965239
CHD8	20.9422	21.69725	0.0510991942153182	0.715336720793904
CHD9	7.12508	7.66724	0.105801127045713	0.601046701732187
CHDH	3.670265	2.977595	-0.301736694183008	0.178410108842209
CHEK1	21.0891	23.17865	0.136299013653086	0.278147070757012
CHEK2	12.35625	17.44225	0.49734518966876	0.0414353284873881
CHERP	21.348	24.3516	0.189915649964479	0.15028725885565
CHFR	7.83986	6.83753	-0.19735263388431	0.180601783831822
CHGB	1.385815	4.397395	1.66591445266131	0.0315604884042344
CHI3L1	2.6007	9.41412	1.85592625403239	0.0059171454277185
CHIC1	2.61361	2.41949	-0.111340903410878	0.436586617257982
CHIC2	4.39372	5.71573	0.379494834325389	0.0534043126083906
CHID1	20.61055	22.8736	0.150300440373545	0.0892253617697837
CHKA	10.29845	9.7274	-0.0823010673410724	0.261737966396385
CHKB	14.77355	11.0096	-0.424254485208635	0.00243911118687078
CHKB-CPT1B	1.585355	1.2370165	-0.357941187569303	0.528489541606411
CHM	7.48626	9.392875	0.3273216556695	0.0456045525611429
CHML	23.2984	16.1562	-0.528142971690104	0.0248940514880924
CHMP1A	42.794	43.84075	0.034863943749116	0.651153711490949
CHMP1B	37.96395	39.0507	0.0407183025808186	0.473247632185677
CHMP2A	88.3936	82.3171	-0.102749759794085	0.0945453378626885
CHMP2B	41.82695	38.79985	-0.10838172625365	0.0546026630158005
CHMP3	36.53165	47.19965	0.369629245207199	0.00264688564994224
CHMP4A	15.4895	19.72655	0.348848088673958	0.0970220192785261
CHMP4B	84.36265	94.5039	0.163769454112982	0.186289704317672
CHMP4C	16.4154	17.17515	0.0652727939330007	0.0724519784165197
CHMP5	19.60025	30.8587	0.654805230102473	0.0968726758847505
CHMP6	15.38235	8.21803	-0.90441142205893	0.0301566851238396
CHMP7	23.69935	23.54605	-0.00936243215000962	0.847582523231264
CHN1	48.5002	29.66905	-0.709031963937911	0.00151491790676135
CHN2	0.888719	0.9948235	0.162713255702551	0.31703438830991
CHORDC1	27.95255	43.66025	0.64334049086611	0.0612067402659818
CHP1	24.2423	31.80305	0.391638548870601	0.0713118827234952
CHPF	48.0815	40.6294	-0.242957845013861	0.286346595474542
CHPF2	12.1032	9.520045	-0.346348238150076	0.133383006706515
CHPT1	43.85365	36.095	-0.28089792115737	0.0990359250470464
CHRAC1	17.84315	20.29755	0.185935269812169	0.0580165868996924
CHRDL1	1.773265	2.91563	0.717399498675253	0.0726743189122878
CHRM3	3.577205	2.802455	-0.352141590317951	0.106349735780639
CHRNA10	0.3853205	0.7003395	0.861995516558132	0.281290769953721
CHRNA3	0.7003555	1.01166	0.53056518451159	0.250895984878322
CHRNA5	8.21508	11.7275	0.513548971240818	0.0413709641730573
CHRNA9	2.478975	2.46599	-0.00757677280385516	0.93259323267195
CHRNB1	1.713845	2.15262	0.328857026242007	0.117287489355907
CHRNB2	0.47486	2.15765	2.18388671866483	0.038023863019904
CHRNE	1.897795	1.52011	-0.320148435263697	0.210692830998489
CHST10	1.830235	4.822335	1.39770297543657	0.00216503522117959
CHST11	3.88907	5.612165	0.529132223112175	0.105675460279168
CHST12	7.18809	5.934225	-0.276548843953207	0.216143146805624
CHST14	24.31565	23.9026	-0.0247176022886827	0.638922936779184
CHST15	5.950875	3.523925	-0.755918594275493	0.0296478908175108
CHST2	2.074015	2.621935	0.338205592102457	0.104774490720321
CHST3	5.282205	7.290095	0.464797322045277	0.0994857083166264
CHST7	1.80796	1.368045	-0.402247072851145	0.110218729278443
CHSY1	15.5919	22.9472	0.557521384931051	0.0818035441110623
CHTF18	22.79955	18.72555	-0.283997256247816	0.21437950559625
CHTF8	41.22585	44.0414	0.0953110907679203	0.0108640567705823
CHTOP	33.02545	40.1716	0.282597704260643	0.0200598921229808
CHUK	17.92015	17.76555	-0.0125003600164649	0.892257730984971
CHURC1	7.417555	7.762055	0.0654949366381506	0.026998480900246
CHURC1-FNTB	6.92947	7.09192	0.0334312499303692	0.808425851028397
CIAO1	23.8445	28.7891	0.271866157422689	0.0939325494899609
CIAPIN1	39.1271	65.7186	0.748133561600147	0.0371051067862655
CIB1	99.87235	114.6265	0.198783389643479	0.322477067510115
CIC	11.0054	10.226115	-0.105953426709467	0.397635351720418
CIDEB	14.34645	18.94075	0.400799669474875	0.0475056054857671
CIDECP	11.98505	11.61315	-0.0454765797279418	0.815014484077701
CILP2	1.406735	0.8193775	-0.779750397780114	0.0288882820828841
CINP	25.69555	25.135	-0.0318208435838256	0.677904922009251
CIR1	22.5354	20.04405	-0.169019016207215	0.0544862306414252
CIRBP	57.4522	54.0073	-0.0892077135301724	0.17728632877178
CIRBP-AS1	1.65921	1.997075	0.26739201974003	0.307830173180781
CIRH1A	119.6725	103.0345	-0.215964178671323	0.041386287432518
CISD1	18.8781	21.1938	0.166928711910226	0.383807140791094
CISD2	8.103715	11.40445	0.492941529856503	0.0227719264320443
CISD3	17.01475	25.41405	0.5788403488115	0.00683190252075383
CISH	1.188765	1.015254	-0.227622833976099	0.431074208158273
CIT	8.41852	7.89585	-0.0924720429375573	0.633138367649338
CITED2	12.6084	20.5034	0.701477956178541	0.0227113900458218
CITED4	33.11725	35.29405	0.0918421103166069	0.491955290311748
CIZ1	81.51455	78.6808	-0.0510459707187979	0.396190117062912
CKAP2	37.0664	33.23595	-0.15736741132092	0.0636657775163382
CKAP2L	10.24205	12.3859	0.274194196116862	0.00764635445374626
CKAP4	59.511	62.3116	0.0663444015404216	0.214574464811521
CKAP5	60.3342	68.922	0.191988551621013	0.0664520446619859
CKB	1.511975	0.447923	-1.75511163240352	0.024765338606754
CKLF	76.04815	42.92575	-0.825069811118334	0.0402977772737263
CKMT1B	1.61253	3.617095	1.16550548855572	0.0722860803687888
CKS1B	183.3635	175.999	-0.0591392555905526	0.688898812837952
CKS2	344.884	437.0445	0.341668982588678	0.148516812653062
CLASP1	13.49605	13.6735	0.0188453526263639	0.880075444060121
CLASP2	8.638185	10.8458	0.328336352437133	0.023070591034038
CLASRP	23.6435	18.58795	-0.347075947446673	0.164391003668097
CLCC1	17.74955	14.67395	-0.274525174343027	0.118804801093599
CLCF1	13.99785	10.6908	-0.388835438446421	0.0887549386533718
CLCN2	13.04155	9.33575	-0.482277512306894	0.0968964484123938
CLCN3	27.92515	26.682	-0.0656982196455338	0.396452430691798
CLCN5	1.354129	1.613765	0.253065322862021	0.686929350764081
CLCN6	6.82771	3.433895	-0.991555856695349	0.0107523332798042
CLCN7	20.589	13.36965	-0.622912062464252	0.0897984294101961
CLDN1	6.375035	28.64715	2.16788644993615	0.00274968614617683
CLDN12	13.5178	14.74375	0.125243139015635	0.267833028485181
CLDN15	2.004995	4.944695	1.3022828960948	0.00804669915843745
CLDN22	1.623045	1.55758	-0.0593967356557936	0.653827500408285
CLDN23	1.706855	0.795348	-1.10168235770327	0.0468532916706692
CLDN3	1.0086095	0.6651785	-0.600554275599329	0.21925458712595
CLDN4	34.487	25.4476	-0.438523035166205	0.155101657298885
CLDN6	0.1127979	0.288029	1.3524738669273	0.0271510468210248
CLDN7	169.066	177.5105	0.0703178087323728	0.541381574649174
CLDN9	0.327088	0.409129	0.322876970679063	0.368639122942612
CLDND1	53.1354	36.18585	-0.554247676578495	0.0529423238413999
CLEC16A	5.193395	5.988645	0.205551655235142	0.460798956985281
CLEC2D	1.209765	1.217435	0.00911792006928905	0.862537977532611
CLEC7A	0.9929795	1.414025	0.509971788435522	0.394559969712325
CLGN	1.66438	4.909835	1.56068968464628	0.0682800730694175
CLHC1	0.68746	1.0103975	0.555575297045275	0.0890916735520227
CLIC1	433.554	240.457	-0.850432769674009	0.00191043146368872
CLIC3	1.184585	0.275918	-2.10207024135775	0.0627822984159839
CLIC4	43.36215	36.2234	-0.259514323910742	0.036668821837522
CLINT1	26.09215	32.31185	0.308447526301084	0.0179146566410879
CLIP1	11.5348	16.79555	0.542086050361813	0.0931714124245942
CLIP2	2.092335	1.37951	-0.600957942636567	0.0852941043371959
CLIP3	0.6639245	0.583876	-0.185357179946002	0.375826812150691
CLIP4	13.51285	19.3873	0.52077991237028	0.00220589437439783
CLK1	19.39455	19.8042	0.03015512179475	0.748802040648379
CLK2	13.95365	11.98765	-0.21909368440404	0.0774127778606046
CLK3	37.3014	36.7187	-0.0227147968332968	0.875008613299913
CLK4	6.131305	7.055375	0.202528592615448	0.0793573021139017
CLMN	0.8119045	1.48355	0.869671604732763	0.0231749174310346
CLMP	14.07765	14.9228	0.0841117340917454	0.448604159812595
CLN3	22.4486	30.48315	0.441386518006382	0.0390105748385428
CLN5	7.1796	5.807745	-0.305925358349697	0.0870835083407404
CLN6	34.81855	50.41195	0.533909636780966	0.0626136453663922
CLN8	2.41026	2.073485	-0.217131170967762	0.0960398546301337
CLNS1A	149.1925	165.731	0.151668471814655	0.381367243494944
CLOCK	3.422565	4.434805	0.373792729255019	0.11862342353672
CLP1	22.46815	24.1308	0.102994405849939	0.487986532902001
CLPB	17.65955	17.5746	-0.00695672699345508	0.937351583258183
CLPP	65.02275	81.77355	0.330689699756972	0.0216638147629406
CLPTM1	50.40355	56.35135	0.160924824671475	0.0845769459447701
CLPTM1L	32.77425	63.17555	0.946803552730209	0.000527657785869882
CLPX	30.1562	38.51315	0.352896481109671	0.0828209924721148
CLSPN	10.84985	5.499475	-0.980309292061602	0.0238896983542547
CLSTN1	46.53985	41.2306	-0.174751104973004	0.124106484915431
CLSTN2	0.407342	0.3355155	-0.279861157668743	0.492963135424305
CLSTN3	13.102	10.03627	-0.384563865358859	0.0794984752853289
CLTA	67.44385	145.951	1.11372529636299	0.0277986034700269
CLTB	66.44855	74.99785	0.17461151953007	0.255351932067628
CLTC	57.9429	44.0096	-0.396813633009243	0.0329682222741262
CLTCL1	5.63017	7.53768	0.420942064644722	0.08460073380863
CLU	1.71965	5.518835	1.68224878964574	0.00567244015870189
CLUAP1	7.80737	7.529915	-0.0522030628233135	0.138082745054662
CLUH	65.2678	64.0236	-0.0277676099493073	0.773381542270712
CLUHP3	5.3666	7.31512	0.446873170356678	0.237440539794893
CMAS	99.75865	112.4895	0.173276496711738	0.200018731935334
CMBL	2.58651	5.37348	1.05484994694794	0.0462079125662259
CMC1	65.73195	68.6178	0.0619880868644356	0.760063157676041
CMC2	78.69135	76.75385	-0.0359659404980578	0.681835458305436
CMC4	28.4784	17.29185	-0.719775867155847	0.0254674034477991
CMIP	8.23538	10.9495	0.41095786585939	0.031370848351488
CMPK1	92.1522	58.2531	-0.661683782172746	0.00630537184423788
CMSS1	83.5912	83.261	-0.00571018571410007	0.936257852214986
CMTM1	4.51307	2.718425	-0.731338130211143	0.211003828422966
CMTM3	14.87705	9.142855	-0.702371834996849	0.0404415901176068
CMTM4	37.59105	34.19705	-0.136517336811755	0.0831026759611278
CMTM6	27.8849	28.74645	0.0438997063454632	0.338292102266782
CMTM7	25.55925	25.63845	0.00446354185373568	0.936437481054966
CMTM8	4.025955	5.48366	0.445808076690654	0.0594959193380733
CN5H6.4	1.086282	0.7229955	-0.587340104149674	0.111479277580512
CNBP	115.1105	124.058	0.107995334459965	0.222350555395546
CNDP2	27.24875	35.1158	0.365930252988773	0.0761683920691043
CNEP1R1	4.085715	6.58709	0.68905268987732	0.108577523998539
CNFN	4.96687	3.00126	-0.726768681570439	0.15877915244894
CNGA1	0.162985	0.235934	0.533644142597605	0.197050729439781
CNGB1	1.04731	1.754085	0.744030122010605	0.00085064685722134
CNIH	131.7305	155.6605	0.240813480108374	0.110784087894297
CNIH2	0.8753285	0.4057945	-1.10907523280568	0.208408373598882
CNIH3	0.889258	1.369005	0.62245376241862	0.00171771690883679
CNIH4	229.539	197.414	-0.217514991710302	0.263279906337272
CNKSR1	10.9254	5.08133	-1.10440803440594	0.00165361723975457
CNKSR2	1.22813	0.0527998	-4.53978700588217	0.0406941197117616
CNKSR3	3.564055	3.459805	-0.0428288728871925	0.577078686476332
CNN2	49.9139	67.66815	0.439035314243031	0.0252881095806366
CNN3	47.5133	35.6862	-0.412965125508302	0.0120599185639008
CNNM2	1.367125	1.67518	0.293170964574195	0.289462112698377
CNNM3	6.85888	9.646855	0.492085666593954	0.102888505356261
CNNM4	6.135595	7.51851	0.293243524257621	0.131144647705895
CNOT1	69.85565	64.11175	-0.12378801789047	0.43463465002484
CNOT10	21.7274	25.9262	0.254895220683828	0.0601429179346468
CNOT11	34.23755	36.29385	0.0841456361512007	0.104351530327178
CNOT2	19.7343	26.64895	0.43337334425814	0.0208020555366356
CNOT3	23.24675	24.1867	0.0571849083470114	0.103889427016916
CNOT4	2.623175	3.636465	0.471222633416667	0.00824354355759156
CNOT6	12.76285	11.7597	-0.11809926890511	0.158615627213672
CNOT6L	3.907055	2.96621	-0.397460824137773	0.0441658491032003
CNOT7	49.6291	52.24505	0.0741080620592094	0.102889891360801
CNOT8	23.94085	24.3641	0.025282556062976	0.22074055325742
CNP	15.68925	19.4462	0.309711876195538	0.0358986744540009
CNPPD1	27.37325	23.74635	-0.205060957729487	0.120551291554459
CNPY2	72.75915	97.5604	0.423166984253866	0.140477078778589
CNPY3	24.0141	15.25985	-0.654140959331353	0.00838509390367497
CNPY4	4.539365	5.052835	0.154602572849877	0.279974980835307
CNRIP1	2.909445	0.977155	-1.57408464254347	0.0393617956435689
CNST	6.06509	5.77712	-0.0701785916199935	0.143667898546233
CNTD2	0.776147	1.306855	0.751697252421472	0.184639726252527
CNTLN	8.09198	7.900595	-0.0345314462849185	0.623882540111666
CNTN1	16.9479	30.5627	0.850665479673386	0.0287698906636893
CNTN3	3.784875	0.3740495	-3.3389445467551	0.0143135639055032
CNTNAP1	0.583391	1.70978	1.5512756682849	0.000872646705239703
CNTNAP2	3.787465	5.70934	0.59209142291686	0.0121144864672093
CNTRL	5.53784	3.659575	-0.597647259054045	0.0212506350565097
CNTROB	14.9005	12.8288	-0.215974514746469	0.225041606464415
COA1	51.40595	53.3413	0.0533176314214712	0.660656105067556
COA3	48.0366	57.46665	0.258590908558536	0.169895842913537
COA4	111.419	103.461	-0.10690823173121	0.441538313174917
COA5	13.12085	17.3272	0.401177355888202	0.0260717318503632
COA6	142.4405	150.5235	0.0796293356929663	0.51100216160234
COASY	68.31955	91.90725	0.427880198979899	0.0782313578917223
COBL	5.98692	11.3411	0.921674679934256	0.0334936322737639
COBLL1	2.84873	1.447655	-0.976601065413721	0.0115545814140722
COCH	3.599925	2.663935	-0.434407969007962	0.102730785442349
COG1	8.49778	5.84343	-0.540270537367581	0.0804777210438951
COG2	25.79545	24.56205	-0.0706856383592646	0.382981858203429
COG3	5.886875	6.54963	0.153911414341868	0.0153305857119559
COG4	19.09715	21.508	0.171516025776962	0.104588988894824
COG5	9.20315	14.8287	0.688192477414322	0.0257107646264097
COG6	6.77058	5.60254	-0.273198383129877	0.0718237437252612
COG7	10.282085	12.10685	0.235690704991207	0.057611347886477
COG8	29.05385	26.2122	-0.148490906812441	0.0445498146522388
COIL	9.35496	13.3363	0.511555073312664	0.00264022897238598
COL12A1	7.64351	8.866645	0.214153019605958	0.289840187667453
COL13A1	1.234185	0.5352865	-1.20517549236551	0.0263815884321801
COL16A1	13.88375	8.838095	-0.651589948682063	0.0892376496237185
COL17A1	0.236363	1.225335	2.37410010778864	0.00854634355204975
COL18A1	6.10629	7.21777	0.24125706367661	0.21839806038446
COL1A1	7.245635	3.273035	-1.14648310179609	0.048401388470902
COL27A1	1.587055	0.3205045	-2.3079356081266	0.0343855193978568
COL4A1	8.121655	4.400965	-0.883953845971474	0.00546139721894155
COL4A2	32.37295	16.58325	-0.96506206259533	0.0243018546316811
COL4A2-AS1	4.588725	2.13163	-1.10613630688273	0.149570257006549
COL4A3BP	6.4974	9.049085	0.477909396500974	0.0225987745400321
COL4A5	5.935925	6.04723	0.0268015876914052	0.656972823068232
COL4A6	2.463475	1.95233	-0.335497900344892	0.0132083094825516
COL5A2	0.6033255	0.3108165	-0.956873467564052	0.111322085608731
COL6A1	36.44305	23.66065	-0.62315399894075	0.127488585061253
COL6A2	7.709625	4.14555	-0.895097168232304	0.00435365821055934
COL6A3	45.2576	7.17196	-2.65772073381785	0.0120445394185993
COL7A1	18.5194	8.5213	-1.1198919099643	0.0394464624884363
COL8A1	5.483395	4.23299	-0.373392322430433	0.00751776647968601
COL9A3	26.4187	6.42075	-2.04074574505905	0.0531243428936118
COMMD1	26.32295	28.24295	0.101569606941966	0.666057715414388
COMMD10	16.40275	23.23575	0.502408502800954	0.00151517705273327
COMMD2	15.49495	19.04875	0.297898230023805	0.214812859711359
COMMD3	30.16895	39.64965	0.394243645053408	0.190543002651042
COMMD3-BMI1	12.55485	19.15725	0.609645686807237	0.191844659066926
COMMD4	81.16415	101.0998	0.316865604782529	0.346077493086584
COMMD5	20.0347	16.667	-0.265506459207457	0.0840115934263087
COMMD6	22.9846	26.75855	0.219332381710051	0.372219579529044
COMMD7	24.96105	22.6091	-0.142775059320574	0.202923994938029
COMMD8	9.121055	12.58705	0.464667590760898	0.0586010818427638
COMMD9	10.35615	14.9548	0.530120849803738	0.0696368562361391
COMT	71.6789	66.0575	-0.117826126967972	0.285123174046863
COMTD1	15.72425	8.420855	-0.900952578569274	0.13787769878976
COPA	36.82755	28.851	-0.352164098527341	0.0299941634006064
COPB1	68.24755	71.92655	0.0757471499834724	0.146481948448916
COPB2	98.6776	83.3587	-0.243389848772891	0.0315710942155447
COPE	92.3736	105.3712	0.189928104941796	0.308405693725806
COPG1	48.48075	39.57295	-0.292897401282157	0.00129582001137393
COPG2	5.24195	6.18213	0.238000399334014	0.187889320788428
COPRS	50.70475	83.86115	0.725881709570402	0.0280568036458922
COPS2	41.613	45.4305	0.126626883389743	0.135925225606587
COPS3	63.09945	70.05785	0.150919283904949	0.211338354378969
COPS4	33.4433	23.3807	-0.516399087930242	0.0543935148585835
COPS5	44.97815	49.0333	0.124537537273355	0.401582492018387
COPS6	85.4688	101.2615	0.244615988456475	0.142644336824168
COPS7A	47.8562	59.15735	0.30585158235131	0.227246024040892
COPS7B	26.5659	19.85515	-0.420062329231935	0.0617771063582122
COPS8	63.71375	80.6384	0.339862261011317	0.0983763248752304
COPZ1	80.68935	104.2876	0.370117455576085	0.116309937907704
COQ10A	6.267405	6.679595	0.0918924081029789	0.658505927140019
COQ10B	9.89875	9.789595	-0.0159971791134382	0.75986392488865
COQ2	16.07305	16.54645	0.0418780047423697	0.48709970732428
COQ3	29.47805	32.3327	0.133352895335399	0.171008746366197
COQ4	19.86595	19.7662	-0.00726224210425428	0.872780018404579
COQ5	28.8087	37.3008	0.372702012687994	0.107041852520141
COQ6	11.70175	7.551495	-0.631890107394874	0.00726778245439474
COQ7	5.08493	8.82307	0.795052817130797	0.0189410834042884
COQ9	35.0075	56.4772	0.690004527250794	0.0279136554842324
CORO1A	24.35115	7.62968	-1.6742954515039	0.0136770462010276
CORO1B	56.79465	27.91775	-1.02457236184976	0.0346784078773747
CORO1C	39.35925	54.1578	0.460466404858848	0.00594301119351745
CORO2A	1.473035	0.7237915	-1.02514563956404	0.0361868249034523
CORO6	3.24941	2.196225	-0.565151925841264	0.0298904660293929
CORO7	6.82601	4.14283	-0.720425907065363	0.0975961846278036
CORT	0.430306	0.472778	0.135799946734038	0.892985557192543
COTL1	122.127	152.4585	0.320034398458086	0.0493224909980718
COX10	8.465865	9.221605	0.123360387337363	0.21074469158275
COX10-AS1	4.708465	4.04727	-0.218307708759088	0.189294603357972
COX11	38.79185	45.4603	0.228853624512549	0.144314058700958
COX14	43.8683	52.28155	0.253123113984634	0.338208696090938
COX15	8.972715	7.56113	-0.246942728381943	0.0932845897469969
COX16	31.66635	30.5759	-0.0505556206699685	0.775970284477977
COX17	196.446	180.3335	-0.123465365495042	0.596586469580811
COX18	9.67419	8.811275	-0.134790078813475	0.127194892349649
COX19	3.66662	4.16824	0.184987591649847	0.00782715007861571
COX20	4.802655	3.848135	-0.31967276339414	0.0894107313688071
COX4I1	337.486	433.7355	0.361987872668061	0.0500513964803688
COX5A	271.5745	411.449	0.599365595165658	0.0439820529551073
COX5B	329.899	441.7995	0.421367381177628	0.154892125873558
COX6A1	401.39	558.81	0.477353163579202	0.181657080709667
COX6B1	309.663	399.4145	0.367187694808323	0.00359621900741484
COX6B2	1.55371	0.5420815	-1.51913557281805	0.0149594307515079
COX6C	142.5735	155.3235	0.123570267507637	0.400730394843983
COX7A2	215.173	257.837	0.260962248217687	0.276295938679097
COX7A2L	91.8488	98.85125	0.105998336606403	0.336482203119227
COX7B	738.261	699.5255	-0.0777542981846386	0.322642517605006
COX7C	1013.472	1311.67	0.372098570454369	0.299109310230994
COX8A	664.515	522.965	-0.345587369841125	0.0907908699046628
CP	2.388655	1.88856	-0.338911877164356	0.204762046476651
CPA4	0.4990395	0.684907	0.456754092876375	0.101737910354235
CPD	9.406525	13.49745	0.520953112757162	0.0417236222449936
CPE	12.7094	2.96001	-2.10222196861225	0.01767657390503
CPEB2	2.49363	4.077625	0.709481686829698	0.0098354930851432
CPEB4	0.8675275	0.695538	-0.318780153740897	0.0527724149910153
CPLX1	1.0966145	0.7579415	-0.532898048275052	0.230720866568982
CPM	0.9761365	1.365195	0.483952226562283	0.066623531166071
CPNE1	132.5625	91.9317	-0.52803839149057	0.0110469535938554
CPNE2	7.785185	11.2383	0.529620590142156	0.0164678634997075
CPNE3	55.79575	52.062	-0.0999245001857499	0.310963010163526
CPNE8	7.768225	4.3984	-0.820606175827996	0.056506917497114
CPOX	36.5151	26.75255	-0.448816768635062	0.095125307537291
CPS1	7.618905	5.82143	-0.388210080199025	0.0706905887680218
CPSF1	19.60425	11.9984	-0.708324416040858	0.0538071300545289
CPSF2	27.11915	27.48365	0.0192616552184964	0.776255351711206
CPSF3	83.5822	83.4083	-0.00300477881439421	0.944207026725726
CPSF3L	33.09575	21.1372	-0.646861686210413	0.0179969407290819
CPSF4	20.37775	20.9056	0.0368946841839497	0.763632858774348
CPSF6	16.92635	20.25705	0.259153188339414	0.0130931238368664
CPSF7	49.97675	55.56875	0.153016702050943	0.00610049426296271
CPT1A	37.5145	52.2784	0.478766657717959	0.0975487162396926
CPT1B	15.6835	16.1789	0.0448659689099224	0.540675507998591
CPT2	24.44045	14.3975	-0.763452526411967	0.0207308066175261
CPVL	32.81755	48.59825	0.566436825781915	0.00720635617888953
CPZ	1.91441	4.680735	1.28983525113812	0.00611792892014246
CR2	1.386765	1.230275	-0.17274249723587	0.30970197035324
CRABP2	2.23766	0.49869	-2.16577566476445	0.0750391516938407
CRADD	4.275415	6.891905	0.68883835087798	0.139417600755287
CRAMP1L	4.65668	4.44406	-0.0674234508188949	0.479772339460615
CRAT	15.0627	9.48027	-0.667980344265377	0.0979661043205409
CRB3	25.48885	37.772	0.567450891806935	0.0368591502081641
CRBN	11.6575	21.15295	0.859600446603041	0.0327735027002403
CRCP	39.017	48.1414	0.303175243412316	0.00311005088820437
CREB1	4.401785	4.39028	-0.00377572638951019	0.95843826146913
CREB3	11.7542	15.60515	0.408845873428461	0.0332592773132749
CREB3L2	1.827115	2.069585	0.179774061624768	0.168777336359755
CREB3L4	8.036975	6.70825	-0.260716138623305	0.103276075630584
CREB5	0.8526795	1.643265	0.946489677193249	0.0360133497273451
CREBBP	8.96871	10.361425	0.208250032119796	0.481937064265111
CREBL2	10.5543	11.1269	0.0762208108861099	0.031059072506214
CREBRF	0.831338	0.8795515	0.08133289583175	0.702748067819736
CREBZF	23.1473	24.9956	0.110830237029188	0.221828391543895
CREG1	37.10875	51.87345	0.483236918678404	0.0726588735015791
CREG2	1.097815	0.6309705	-0.79899049579386	0.0419277422856345
CRELD1	7.063755	9.186265	0.379043096909956	0.0313295740019214
