SUM149_DMSO_12H_R	SUM149_JQ1_12H_R	SUM149R_DMSO_12H_R	SUM149R_JQ1_12H_R
EMP1	108.938	120.0885	144.521	114.7505
EMP2	19.06445	9.604665	13.70785	9.702565
EMP3	35.47505	27.4909	36.5126	21.6651
EMR2	0.6463825	1.823765	0.5091785	0.6990045
EN1	4.970515	1.772025	7.433085	4.138185
ENAH	33.16435	30.7763	31.366	33.48295
ENC1	2.417665	4.4662	4.93633	5.42066
ENDOD1	12.8799	14.999	13.8534	16.5803
ENDOG	18.75645	25.61	15.1483	25.0774
ENDOV	5.743575	10.473885	5.101115	6.607465
ENG	16.9188	4.744855	9.084115	3.44668
ENGASE	8.06621	7.23781	4.9612	4.95558
ENKD1	22.5169	11.8577	16.51295	11.346
ENO1	1893.48	1875.765	1463.31	1418.41
ENO1-AS1	4.59028	6.28789	2.77135	3.29917
ENO2	21.2094	21.3116	33.50685	38.69815
ENO3	6.777775	3.38984	7.41149	4.83878
ENOPH1	48.18335	31.45225	49.0823	44.9249
ENOSF1	27.58865	18.6806	29.3231	25.69815
ENOX1	1.331585	0.611507	1.651275	1.94889
ENOX2	7.379955	9.42665	9.701315	11.25595
ENPP1	0.4712895	1.2837	0.386585	0.8427415
ENPP4	3.20153	2.251095	3.54181	3.36926
ENPP5	1.964545	3.01957	1.683515	2.77654
ENSA	95.98165	129.4165	86.0863	109.3045
ENTHD2	6.05605	6.837	4.81837	5.52575
ENTPD1	2.23954	2.13951	2.477325	2.948265
ENTPD2	13.59635	13.18465	5.293195	8.291145
ENTPD4	8.92886	8.4194	6.3602	6.46725
ENTPD5	3.66287	5.58589	3.452655	5.34197
ENTPD6	53.8966	38.6083	57.9006	48.84185
ENTPD7	2.411255	2.309895	1.80408	1.78622
ENY2	26.13635	38.47795	25.735	36.93405
EOGT	3.50405	1.996875	4.183395	2.977185
EOMES	1.160155	1.08241	2.321385	1.473865
EP300	12.84895	14.4377	12.9929	15.85125
EP400	11.0004	9.57045	10.081925	12.5649
EP400NL	2.23396	3.16509	1.71494	2.473895
EPAS1	63.8196	66.5716	79.4656	97.32525
EPB41	17.1513	9.23749	9.018835	9.11139
EPB41L1	8.26758	1.600965	7.822575	2.27324
EPB41L2	19.96765	17.30195	17.54555	19.26595
EPB41L4A	1.79403	0.770272	5.272095	1.692065
EPB41L4A-AS1	9.212915	7.26297	15.0002	9.389495
EPB41L4B	5.587135	2.27467	9.44393	6.723815
EPB41L5	10.5701	14.6396	11.78445	16.7396
EPB49	7.638835	2.25113	5.5864	2.078055
EPC1	4.92111	3.180075	5.879725	4.108185
EPC2	10.3	7.1112	14.3003	10.85005
EPCAM	249.151	208.926	303.1405	262.181
EPDR1	15.41335	9.36167	6.918585	4.92477
EPG5	3.27043	5.580045	4.52318	6.268985
EPGN	4.801785	0.733259	6.120735	3.07841
EPHA1	4.953125	5.641755	3.519325	3.85501
EPHA10	1.257135	1.47132	2.390155	3.24265
EPHA2	59.43195	103.8945	57.7449	75.392
EPHA7	0.143475	1.326005	0.04291375	0.401542
EPHB2	1.742185	4.633195	1.233675	3.70819
EPHB3	3.19148	6.94318	3.28733	5.37535
EPHB4	29.82175	20.62365	34.52055	28.96065
EPHB6	1.66198	0.814734	0.8787905	0.7624135
EPHX1	46.975	153.748	44.88415	131.1595
EPHX2	0.70074	1.278225	0.6553815	0.989501
EPHX4	7.37577	0.556436	5.212195	0.7517365
EPM2A	2.525745	3.16015	3.01794	4.21777
EPM2AIP1	6.755575	11.0706	6.81758	9.179215
EPN1	66.86745	77.87165	66.95025	86.6222
EPN2	6.42263	5.756815	6.132505	5.975935
EPN3	5.57628	0.808892	5.33055	1.74098
EPOR	1.81451	5.026295	1.938125	5.346505
EPPIN	1.129825	0.9002955	1.552445	1.053045
EPPK1	1.184135	9.685005	1.485225	8.824245
EPRS	145.6795	109.411	142.528	115.111
EPS15	18.25425	19.9982	15.23865	16.5933
EPS15L1	14.71445	15.0418	14.63115	17.01635
EPS8	45.92805	39.77305	30.1316	43.49315
EPS8L1	5.330175	3.669975	4.33077	2.978565
EPS8L2	17.83105	16.70145	6.99307	7.716705
EPT1	13.77155	8.83445	22.09185	16.6022
ERAL1	43.18	33.3551	49.89775	44.49855
ERAP1	6.305105	3.85858	9.53743	7.77547
ERAP2	5.710275	1.38785	6.19128	1.971295
ERBB2	13.83155	11.44785	16.6812	16.3354
ERBB2IP	15.46415	14.03275	15.06515	13.812
ERBB3	9.262335	8.40279	10.7547	10.573395
ERC1	9.238125	10.7604	12.9141	16.08305
ERCC1	18.8158	20.0481	28.54975	25.0041
ERCC2	13.6026	15.68975	10.78525	10.92305
ERCC3	38.02995	34.2083	38.8711	42.4786
ERCC4	3.98032	2.70587	4.66743	3.740495
ERCC5	6.286125	8.71165	4.66592	5.48934
ERCC6	4.857995	8.82531	4.680365	7.552965
ERCC6L	12.9186	11.3377	11.5028	15.464
ERCC6L2	2.58624	4.33407	2.29532	3.67309
ERCC8	7.019255	2.564255	6.98356	3.77237
EREG	24.12385	11.1877	13.0772	4.14335
ERF	22.40125	11.06075	20.79585	12.7559
ERGIC1	43.02405	27.49395	40.96995	32.17265
ERGIC2	30.02715	17.878	36.88125	26.6996
ERGIC3	139.4325	143.1935	130.6655	123.914
ERH	195.988	148.4265	202.919	169.491
ERI1	11.6246	8.977105	13.35735	13.8409
ERI2	9.76149	5.336775	11.34765	8.1253
ERI3	51.7065	48.0857	29.7216	28.58
ERICH1	8.616435	6.729965	10.131205	7.57619
ERLEC1	29.52935	32.47605	30.276	34.0751
ERLIN1	25.60255	18.21385	24.1729	22.16375
ERLIN2	12.2657	10.902	11.67015	10.76935
ERMAP	2.590095	4.64065	2.187445	3.23405
ERMP1	39.21295	32.1546	42.17955	37.59555
ERN1	1.40896	3.24987	1.43971	2.97885
ERO1L	59.8128	52.69765	49.68985	43.7027
ERO1LB	0.9097725	2.778015	1.64698	3.324505
ERP27	11.7698	2.24101	10.44514	2.60871
ERP29	83.9554	91.85285	111.983	115.1755
ERP44	24.1766	29.2048	21.1373	26.9572
ERRFI1	65.8052	42.0424	36.81795	21.5881
ERV3-1	8.097495	18.19045	4.427875	7.34137
ERVK13-1	1.039765	3.679295	1.03866	1.560335
ESCO1	11.57875	13.3565	14.03105	15.131
ESCO2	10.92305	8.241725	12.04185	14.7408
ESD	70.5078	43.5914	69.4871	45.12375
ESF1	63.90085	47.2469	72.9994	61.13515
ESPL1	20.5922	13.5532	17.03635	19.07225
ESPN	7.34387	15.38925	4.682015	9.19691
ESRG	61.7631	234.809	47.5883	219.37
ESRP1	54.85825	33.391	39.5905	29.058
ESRP2	45.73395	45.9907	37.5221	34.539
ESRRA	54.11485	45.0288	62.50505	50.62245
ESYT1	39.53635	49.71765	44.3588	59.95315
ESYT2	30.21875	32.6584	39.63995	45.7462
ETAA1	15.41	11.39435	12.09055	9.92422
ETF1	90.0889	88.1798	146.3675	152.0855
ETFA	170.09	161.3925	226.263	223.751
ETFB	79.09725	76.55915	68.4027	68.52
ETFDH	7.552045	20.90405	9.93691	21.3584
ETHE1	18.56845	29.54165	25.49895	37.3725
ETNK1	17.72505	22.3129	18.5567	18.614
ETNK2	3.19582	1.50345	1.008495	0.5964075
ETS1	10.65595	11.2903	18.2069	18.3885
ETS2	11.51135	12.34975	18.3335	17.35335
ETV1	2.480005	2.721755	1.05719	1.6917
ETV3	4.65323	6.726235	4.95247	5.66842
ETV4	51.69115	27.504	66.39405	39.6674
ETV5	16.7784	31.09345	15.25985	24.82435
ETV6	3.211525	2.694715	4.846845	3.957885
EVA1A	7.352725	6.330065	8.18521	6.269235
EVA1B	11.7027	24.36775	2.94804	6.819915
EVA1C	8.59672	4.223035	12.1375	8.78644
EVI2B	3.369875	0.8070395	2.267775	0.9026335
EVI5	2.6274	4.40282	2.241535	3.849785
EVI5L	2.188775	4.64056	2.56449	5.871185
EVPL	8.137665	5.340975	5.03153	3.457285
EWSR1	130.066	116.999	97.5649	87.4757
EXD2	10.20448	7.049805	10.3031	9.622595
EXO1	21.6271	10.66265	23.43365	22.9772
EXO5	6.811345	11.98105	4.06106	6.72788
EXOC1	6.65859	8.513305	6.77698	8.44867
EXOC2	10.15406	10.50625	5.659505	6.46868
EXOC3	14.6578	17.51595	21.85005	23.62835
EXOC3L1	1.509455	0.9269815	1.96492	0.6870015
EXOC4	7.112235	6.84794	10.24697	9.549775
EXOC5	16.6531	15.1721	16.4191	17.83475
EXOC6	4.19032	5.845695	4.901065	8.104485
EXOC6B	10.23155	16.0399	9.036975	15.5248
EXOC7	18.37585	18.32135	13.24705	12.41535
EXOC8	13.545	23.53865	12.5109	15.78075
EXOG	4.2819	2.689285	4.22394	3.370265
EXOSC1	27.02905	17.6124	23.8202	17.8363
EXOSC10	47.74485	24.2078	40.7719	26.541
EXOSC2	42.6759	37.12625	50.2496	48.4354
EXOSC3	15.3657	11.805	24.5605	22.2385
EXOSC4	37.503	33.79485	34.94915	32.58395
EXOSC5	44.1238	26.3938	65.3985	43.5519
EXOSC6	19.32795	19.1661	15.3219	20.41135
EXOSC7	62.51175	35.12855	71.29115	48.1624
EXOSC8	30.63785	14.7681	32.06495	16.96995
EXOSC9	40.185	16.09935	43.48815	32.04825
EXPH5	2.044795	1.29884	2.87644	1.251645
EXT1	16.4874	28.78975	15.59095	21.3097
EXT2	52.4947	53.2657	61.7887	67.1074
EXTL2	10.7665	10.15535	6.492075	6.423355
EXTL3	10.7132	10.7734	10.4007	12.5871
EYA3	9.085095	12.59325	6.576365	7.56668
EYA4	1.417075	0.6786	0.2572695	0.185731
EZH1	4.832735	5.895745	6.532495	7.364805
EZH2	24.88295	18.88955	26.64485	29.4144
EZR	127.9245	147.0025	183.09	179.3725
F11R	26.83555	52.7375	24.07925	40.3543
F12	7.556245	1.231335	7.126205	3.03793
F2RL1	10.3452	14.72155	19.871	23.51405
F3	76.457	81.5134	49.7467	50.66925
F8	5.2302	2.587795	2.162755	1.471615
F8A1	1.22605	1.340995	0.6720075	1.3345
FA2H	0.3685215	1.265385	0.8052715	1.76468
FAAH	6.395655	7.864115	3.53823	5.58664
FAAH2	2.650255	1.77261	3.037205	1.92907
FABP3	1.13068	0.9371595	0.79197	0.469915
FABP5	166.5845	113.722	135.641	97.1426
FADD	46.3291	45.48965	46.7874	42.11885
FADS1	57.1162	33.533	50.35325	26.8997
FADS2	74.89265	58.44045	40.0598	30.38565
FADS3	10.46736	13.74955	6.271045	6.35506
FAF1	38.35105	26.04155	34.8051	29.398
FAF2	29.0458	31.3244	32.3432	36.94005
FAH	21.24165	16.13885	20.47865	15.65995
FAHD1	19.28075	25.4807	27.37195	32.57075
FAHD2A	4.00757	3.703895	5.6454	7.07854
FAHD2B	0.16552345	0.4578655	0.794073	1.403085
FAHD2CP	0.9306725	3.266965	2.10676	2.557115
FAIM	20.76005	4.306195	21.28135	8.53771
FAIM3	1.634935	1.20595	1.501335	0.908969
FAM101B	1.16469	0.640707	0.1268545	0.1407225
FAM102A	5.306225	10.9716	6.93264	11.34865
FAM102B	6.40308	8.69712	3.67356	7.17898
FAM103A1	20.8092	27.22755	29.56855	36.28295
FAM104A	13.94935	15.27455	10.2972	9.922895
FAM104B	11.9278	10.286615	10.070385	9.39819
FAM105B	3.038895	2.64797	5.53812	6.02754
FAM107B	12.25095	25.63355	24.40445	39.31075
FAM108A1	23.31545	44.48465	21.0423	37.93825
FAM108B1	13.49785	19.46525	14.9357	18.93325
FAM108C1	13.7513	7.18193	22.86625	16.74795
FAM109A	2.08554	2.32235	2.098455	2.934215
FAM109B	3.115225	0.394931	2.014235	0.3882445
FAM110A	6.09511	3.35484	6.129115	3.44067
FAM110C	5.2425	7.87922	6.09142	8.27142
FAM111A	24.3062	22.9599	24.7968	26.743
FAM111B	14.32295	7.040735	14.5352	16.36505
FAM114A1	2.910425	2.01701	1.178095	0.8199035
FAM114A2	3.98007	5.76031	5.055345	6.833395
FAM115A	9.48502	14.35385	10.99155	17.78455
FAM115C	0.9093065	1.24908	0.50615	0.6264115
FAM117A	1.448575	2.844725	1.941585	3.068565
FAM117B	2.18431	2.45487	1.875755	2.11614
FAM118A	5.45769	6.6414	6.74417	6.7198
FAM118B	7.75015	18.3238	11.0405	23.7288
FAM120A	80.9718	61.8298	95.8322	78.7146
FAM120AOS	19.4647	32.02995	24.6067	30.99995
FAM120B	12.55955	24.71815	12.9149	21.73185
FAM120C	7.07928	7.395895	5.351575	4.859205
FAM122A	8.38314	13.6618	9.179985	13.54995
FAM122B	30.62955	14.8429	24.3527	16.82445
FAM122C	1.56155	1.656315	0.89724	0.808763
FAM126A	5.375565	12.47985	7.699485	14.84805
FAM126B	1.619415	2.416915	1.40452	1.70545
FAM127A	48.16845	90.85115	30.6512	48.1148
FAM127B	82.61475	63.8836	54.23775	49.2929
FAM129A	2.39765	2.65059	7.249445	8.9907
FAM129B	90.14	128.9675	132.9195	175.362
FAM131A	9.71533	9.99585	5.679675	6.129875
FAM131C	3.22686	0.7302995	0.8608975	0.4678455
FAM132A	0.494	1.301545	0.09986985	0.2969495
FAM133B	6.978295	7.54932	9.6757	11.3818
FAM133DP	10.77675	12.73905	14.8329	17.0971
FAM134A	15.0171	21.39045	14.6335	21.2989
FAM134B	0.429903	0.305429	1.69657	1.16611
FAM134C	8.530175	17.6874	15.0092	22.89625
FAM135A	4.468455	3.58828	5.327065	4.418715
FAM136A	78.1836	30.09245	83.7281	40.9825
FAM13A	4.328225	3.741295	3.150135	2.83502
FAM13B	4.27435	8.386605	6.299615	8.300695
FAM149B1	2.41783	5.815705	2.276485	4.35539
FAM151A	5.265855	4.224795	3.403405	1.98146
FAM153C	0.7611065	1.17718	0.9532635	0.9990935
FAM155B	0.6979215	0.3518615	7.22303	5.510545
FAM160A1	5.13032	8.20538	5.836715	6.542185
FAM160A2	10.118685	15.78445	11.1889	14.9464
FAM160B1	4.203435	2.847105	2.66171	1.79626
FAM160B2	13.91515	11.89065	8.69719	8.5591
FAM161A	3.328415	2.821115	3.403625	4.30966
FAM161B	0.693644	2.1028	0.7800465	1.625795
FAM162A	67.6678	86.30215	62.49235	73.2889
FAM166A	25.47695	92.0767	31.0008	76.09375
FAM167B	0.781493	1.18366	0.3178875	0.3785115
FAM168A	8.54753	7.372735	6.6137	6.378475
FAM168B	38.2563	46.39235	45.18585	55.27315
FAM169A	6.49004	2.179915	6.23962	3.365655
FAM171A1	8.65169	0.6750585	4.785785	0.83125
FAM171B	2.318315	3.303425	1.59849	2.9797
FAM172A	4.79144	4.90824	4.524145	4.716625
FAM173A	14.77655	37.84345	12.4832	32.5086
FAM173B	2.46105	3.708075	6.098565	8.98226
FAM174A	7.58606	4.442555	6.162715	3.729335
FAM174B	1.16639	0.6568795	2.92262	3.119145
FAM175A	6.576405	6.544605	6.15659	8.263445
FAM175B	10.8099	8.564655	10.17565	9.27052
FAM177A1	10.8454	16.92555	13.8367	17.9408
FAM178A	6.5922	7.047275	5.389365	8.28284
FAM178B	1.917925	0.5718235	2.906345	1.079183
FAM179B	5.038475	6.784005	5.0811	6.05314
FAM184A	1.33273	0.5617705	2.44189	1.68019
FAM185A	4.615305	3.30049	4.597975	3.65354
FAM188A	5.53232	7.968825	8.5451	9.07113
FAM188B	2.04734	1.14511	2.42772	2.8718
FAM189B	26.02665	11.08615	18.3653	8.66539
FAM192A	29.4358	19.74135	50.25085	38.2544
FAM193A	6.363945	7.635045	5.62748	6.336165
FAM193B	6.995745	11.0865	6.20606	9.758125
FAM195A	42.1287	26.9758	47.84635	44.55185
FAM195B	26.94575	83.27475	12.1588	45.1847
FAM196B	1.433015	0.1125245	1.0705855	0.187525
FAM199X	12.49005	9.743215	14.78065	12.8124
FAM200A	3.163735	5.65181	4.28975	5.87153
FAM200B	5.437425	3.23038	4.47865	3.07596
FAM201A	3.79038	2.928385	5.050615	4.44823
FAM204A	12.7025	5.811865	11.3551	7.413465
FAM206A	24.1258	28.53765	28.84375	26.95005
FAM207A	53.9958	44.28595	50.4401	51.51085
FAM208A	7.81535	6.485025	9.816155	9.34644
FAM208B	22.9348	22.6848	34.4784	34.7413
FAM20B	13.81145	8.56915	11.8529	9.023395
FAM20C	28.7088	25.6259	16.58805	16.90765
FAM210A	13.61255	10.202415	18.34735	15.34605
FAM210B	16.97595	14.78425	21.2292	21.7303
FAM211A	1.357895	1.10615	1.193135	1.000973
FAM211B	3.17883	0.4811105	0.522555	0.2472575
FAM212A	0.7460375	0.727349	1.172047	1.17254
FAM212B	0.3936675	1.21514	0.6599945	1.164625
FAM213A	33.79835	16.53295	33.06485	23.798
FAM213B	10.8681	5.42572	5.88002	4.388875
FAM214A	1.948675	4.85487	2.08223	3.355645
FAM214B	1.791465	2.016045	1.838255	1.18414
FAM215A	0.97664	1.269365	0.999144	0.8916995
FAM216A	25.6324	12.6228	29.5166	16.3286
FAM217B	6.17755	6.81712	7.63362	6.56664
FAM218A	2.244285	3.48861	1.280645	1.671625
FAM219A	4.740195	12.95485	4.768905	8.496835
FAM219B	13.78815	14.9999	14.7875	14.5812
FAM21C	2.657495	1.249045	3.221115	1.85941
FAM220A	8.746115	15.7082	8.82869	14.51845
FAM222A	2.04763	8.43781	1.611355	9.44511
FAM222A-AS1	3.91355	0.730788	3.315475	0.542401
FAM222B	4.891205	5.567245	6.212785	5.915825
FAM226A	1.239785	0.831762	0.968327	0.4495985
FAM227B	0.974814	1.14777	0.9363145	0.981456
FAM228B	0.5867675	0.51462	0.9460495	1.38279
FAM229A	3.226715	9.499735	1.524145	2.78504
FAM229B	2.367305	2.71363	1.65941	2.23267
FAM24B	7.875095	7.729055	6.13316	7.55759
FAM32A	52.9506	57.13815	70.72445	66.75405
FAM35A	6.879175	4.393465	9.145045	7.3678
FAM3A	34.26815	47.02995	25.018	30.9826
FAM3C	34.44725	41.3492	40.9756	52.01565
FAM41C	1.58669	0.8358445	1.117875	0.7141815
FAM43A	0.27368	1.31282	0.434199	1.379135
FAM45A	4.58338	5.102835	3.603785	4.207445
FAM45B	0.911234	0.9284855	0.4766595	1.0653695
FAM46A	12.548	8.081575	11.25505	9.478885
FAM46B	3.48477	10.178545	2.701755	4.721055
FAM46C	0.2689595	2.917125	0.2616705	1.26643
FAM47E	0.7502845	0.23242	1.06602	0.205188
FAM47E-STBD1	0.837722	0.274609	1.15942	0.1657625
FAM49B	29.5126	25.4263	24.07665	23.863
FAM50A	89.68525	98.9199	95.96115	107.486
FAM50B	11.6013	5.360665	8.95135	5.935065
FAM53A	1.216265	0.975206	1.1215	1.28467
FAM53B	4.79191	2.153095	3.99387	2.86667
FAM53C	19.098	28.96775	27.266	41.3797
FAM57A	39.5219	14.51925	44.77365	21.5551
FAM58A	63.4892	80.90695	52.4506	59.6764
FAM60A	35.77535	21.02505	52.64185	33.48515
FAM63A	2.915835	2.24363	2.196165	1.203285
FAM63B	0.671409	1.016353	0.7277595	0.9646135
FAM64A	31.58165	31.26535	21.7395	28.3167
FAM65A	32.98885	12.38395	18.3095	10.89575
FAM69A	3.592735	8.30831	2.63915	4.86792
FAM69B	3.391955	2.664165	2.146355	2.456415
FAM71E1	15.14595	15.31285	13.4042	14.01845
FAM71F1	2.727795	3.58203	3.55162	3.827425
FAM72A	2.57222	2.43441	2.11979	2.37317
FAM72B	3.151745	3.073955	2.239135	2.70575
FAM72D	1.8358	1.83216	1.569155	2.01045
FAM73A	3.56458	3.487775	3.922735	3.910385
FAM73B	12.36265	14.67455	12.42945	14.4073
FAM76A	3.64423	4.46468	2.227355	2.66603
FAM76B	4.36159	5.011755	5.13761	6.07099
FAM81A	0.658579	0.152651	1.39566	0.7949885
FAM83A	15.4746	3.83535	28.39895	16.0957
FAM83B	8.278175	6.60684	11.4187	7.318435
FAM83D	53.26225	67.66075	51.4559	71.65
FAM83F	12.5561	11.8152	11.76975	10.7049
FAM83G	10.7382	8.16549	12.50235	12.4385
FAM83H	28.62235	16.69125	26.65915	18.4424
FAM84A	1.23681	1.394025	0.0520433	0.06269325
FAM84B	20.6946	21.25115	21.17125	16.7979
FAM86A	12.8955	9.69116	13.8806	13.1235
FAM86B1	1.35738	0.643783	0.8098545	0.55685
FAM86B3P	2.25722	3.43453	1.545095	2.084105
FAM86C1	5.131835	6.48094	4.27753	5.13087
FAM86C2P	3.322305	3.911305	2.992645	3.522
FAM86DP	4.25313	4.49811	3.52917	3.604725
FAM86EP	1.66473	1.43343	1.449035	1.52715
FAM86FP	2.05117	2.593595	1.34464	1.54205
FAM86HP	0.625554	1.60706	0.637581	0.7580985
FAM86JP	1.33243	1.62925	1.143675	1.266005
FAM89A	28.3934	13.24525	18.622	15.93875
FAM89B	24.1118	48.398	23.239	35.8705
FAM8A1	9.572315	12.26245	5.79581	7.789055
FAM91A1	35.5667	42.4351	38.47235	48.24085
FAM92A1	34.73785	10.67244	31.16415	18.1233
FAM96A	87.2634	46.5925	116.178	73.876
FAM96B	192.721	238.6785	153.169	172.986
FAM98A	22.86245	21.17755	29.0078	30.98385
FAM98B	63.0963	57.40085	66.2343	75.08205
FAM98C	7.283745	2.984605	7.8229	3.820645
FAM9B	1.521975	0.345253	1.548365	0.1924245
FAN1	17.00545	16.32945	20.19055	19.6877
FANCA	17.8357	9.445485	14.52795	13.59555
FANCB	6.84583	5.001365	5.64561	6.253325
FANCC	5.15119	2.73744	6.20587	4.56614
FANCD2	19.0184	6.435585	21.78955	10.92035
FANCD2OS	3.000595	0.901077	3.270635	1.366095
FANCE	7.21864	4.67944	3.979465	4.927195
FANCF	3.80136	3.93304	4.2191	5.60626
FANCG	11.735	6.4707	15.53475	11.7349
FANCI	40.30155	20.626	52.0381	42.1053
FANCL	31.5117	22.6548	31.5621	25.6449
FANCM	4.01273	3.89606	4.4966	5.55644
FANK1	0.7793065	1.778475	0.5685565	0.653159
FAP	5.69968	2.348955	4.76013	1.37035
FAR1	29.30255	23.7179	33.4038	32.4757
FAR2	1.305195	0.2581135	0.2845605	0.1839445
FARP1	5.10452	3.57568	2.78394	3.171435
FARP2	2.160305	3.103985	2.407895	3.57253
FARS2	10.66	9.71935	7.734845	7.255125
FARSA	85.423	80.68685	124.3405	123.205
FARSB	62.8664	51.5635	55.36495	56.7037
FAS	5.506785	2.6593	5.27554	3.155865
FASN	259.1035	228.7755	132.646	137.0315
FASTK	33.2005	40.07135	42.19465	46.38625
FASTKD1	24.66545	15.4588	23.0217	17.3735
FASTKD2	14.957	9.68596	11.73735	8.97896
FASTKD3	5.63334	3.71282	13.75285	9.52321
FASTKD5	15.6952	18.16765	22.24065	23.0473
FAT1	13.8928	16.6348	16.86715	20.69325
FAU	986.0635	927.362	1009.1315	941.7785
FAXC	3.045735	0.9014115	4.071645	1.697815
FBF1	5.451415	5.046675	2.77663	3.51896
FBL	169.324	102.9403	207.0515	156.4015
FBLIM1	12.2399	3.17116	4.70621	1.76948
FBP1	7.456105	3.918805	9.686	7.69827
FBRS	30.87125	50.39345	27.75575	30.39685
FBRSL1	8.514675	5.252525	7.796085	5.28743
FBXL12	8.26871	10.97335	9.335485	10.1501
FBXL14	9.290715	9.31956	15.2659	15.2386
FBXL15	6.53242	8.807705	4.321255	7.04888
FBXL16	18.17505	10.57175	12.96265	10.87985
FBXL17	3.806185	2.251345	6.193645	4.86318
FBXL18	4.703035	7.09829	5.12329	5.941215
FBXL19	17.7636	8.52721	12.97615	6.620395
FBXL19-AS1	1.0564	1.431755	3.275895	2.479705
FBXL2	1.604665	3.19187	1.556095	1.76011
FBXL20	2.500105	2.74861	3.14338	3.20671
FBXL3	8.10623	10.68745	8.302925	9.12346
FBXL4	10.7106	10.484	11.98695	12.37725
FBXL5	9.04746	9.991765	9.74157	10.004935
FBXL6	19.50025	23.2313	12.08405	14.56835
FBXL8	4.45139	9.11828	2.088695	3.221735
FBXO10	0.6418115	0.798531	1.2142	1.239855
FBXO11	25.03225	30.4494	23.8655	22.16805
FBXO15	1.15186	1.83261	0.632629	1.1131565
FBXO16	3.13591	3.19305	1.845655	2.199245
FBXO17	11.0207	6.59071	12.3989	11.6306
FBXO18	23.46495	30.0734	35.46885	46.9763
FBXO2	76.07095	127.155	51.97005	73.00215
FBXO21	15.4154	22.5636	20.19525	30.53155
FBXO22	22.85995	21.04805	31.3417	34.84065
FBXO22-AS1	77.50135	75.66005	115.455	125.7215
FBXO25	11.46925	8.97368	15.1647	13.82515
FBXO27	14.0369	7.61734	16.26545	9.730515
FBXO28	30.3297	23.73235	27.2476	23.1658
FBXO3	16.10215	27.77095	19.17445	28.74335
FBXO30	10.99405	11.94295	12.46845	12.25445
FBXO31	17.4422	24.95025	15.7874	19.61465
FBXO32	2.199585	0.874114	4.83365	1.600865
FBXO33	6.16817	9.523905	8.222505	13.3702
FBXO34	15.2186	16.6628	17.8034	20.41545
FBXO36	1.330795	1.002524	0.59421	0.7074905
FBXO38	10.9937	15.3955	15.04055	15.974
FBXO4	3.902285	0.5756385	6.298065	1.707615
FBXO41	10.03118	9.72319	8.617655	10.17535
FBXO42	12.4396	17.483	8.193405	11.4083
FBXO43	1.932515	1.57373	0.603263	0.9739575
FBXO44	19.7967	19.68515	10.54502	10.87505
FBXO45	11.92965	10.8407	17.55985	20.27975
FBXO46	5.08707	3.849995	6.26793	5.126805
FBXO48	1.60253	2.210295	1.39222	2.3661
FBXO5	32.7902	18.31265	31.2098	32.23825
FBXO6	5.087815	2.07144	2.788035	1.232565
FBXO7	37.3323	29.4257	44.2695	38.2342
FBXO8	8.318245	11.6041	8.3262	10.26088
FBXO9	15.39085	14.62985	10.8257	9.586245
FBXW11	14.2052	12.44785	14.98885	13.1219
FBXW2	12.92875	14.0178	17.782	19.59685
FBXW4	8.09573	5.413835	7.81993	5.604535
FBXW5	63.9572	98.1907	59.56185	80.92665
FBXW7	14.2876	26.2332	13.29785	15.7668
FBXW8	3.272185	4.23366	4.063225	5.589355
FBXW9	9.75608	11.09135	11.53185	13.65155
FCAR	0.8038495	1.009426	0.752927	0.956045
FCF1	32.22675	29.16755	28.14325	26.38475
FCHO2	3.57832	3.867715	4.110205	3.788535
FCHSD1	3.87633	4.55406	3.58311	3.49641
FCHSD2	6.40364	3.31652	8.509965	6.87016
FCRLB	2.447815	2.0574	1.444145	0.9809235
FDCSP	0.541703	0.300326	1.35454	1.098025
FDFT1	110.953	114.0965	79.4883	73.8847
FDPS	110.5625	86.5338	98.4116	77.4573
FDX1	16.40585	11.29025	17.2612	15.81075
FDX1L	22.8812	15.49275	30.69735	22.6815
FDXACB1	1.0481935	1.102602	0.950891	0.8509175
FDXR	6.75511	10.1379	5.18083	7.970355
FECH	12.39005	14.65905	11.26995	15.3382
FEM1A	20.48155	18.34005	34.6218	33.79265
FEM1B	14.75495	16.73545	18.3263	18.81665
FEM1C	5.39373	5.582105	7.58749	7.49913
FEN1	72.87545	45.98985	79.9667	83.3786
FER	5.878475	7.559855	7.64814	8.31806
FERMT1	26.72045	10.47995	35.1786	19.30635
FERMT2	38.2272	36.5791	44.20825	44.90255
FERMT3	0.5391835	1.165535	0.71703	1.353275
FEZ2	13.31855	16.64465	16.9629	16.96285
FGD1	16.6519	6.01579	8.703585	6.15197
FGD4	1.017809	1.081815	1.676175	1.513915
FGD5-AS1	53.28775	32.2516	66.17435	55.63005
FGD6	3.342275	4.69648	6.382425	5.49802
FGF13	2.418705	1.099015	1.81969	1.26436
FGF14-AS2	5.70971	3.03952	3.202655	3.062375
FGF2	0.3371945	0.0907412	1.55808	0.553232
FGFBP1	43.356	17.55865	31.284	10.31925
FGFBP3	1.80621	1.0505945	1.57845	1.120665
FGFR1	1.851575	11.10415	3.037955	12.4422
FGFR1OP	19.95135	22.41415	18.77395	21.3468
FGFR1OP2	35.8286	62.50255	47.6597	71.84435
FGFR3	0.4300145	1.843855	0.131002	0.72902
