SUM149_JQ1_12H_R	SUM149R_JQ1_12H_R	LOG2_FOLD_CHANGE	P_VALUE
DUSP3	17.4998	22.21175	0.343984629142246	0.0485573713428948
DUSP4	43.0133	45.24105	0.0728495934901178	0.199127772986711
DUSP5	13.16415	14.091	0.0981596288525277	0.13890332212179
DUSP5P1	1.096325	0.500736	-1.130553455721	0.0261618434480848
DUSP6	61.498	81.23405	0.40154508031519	0.0310282922692079
DUSP7	5.697265	16.3629	1.52208704232276	0.000733780191615636
DUSP9	0.3164355	0.3856295	0.285303958753734	0.0592089772817355
DUT	35.66765	63.41255	0.830152227422357	0.0179428899817098
DUXA	1.636655	1.522485	-0.104322225487945	0.466947477204099
DVL1	40.77575	32.54475	-0.325286581207765	0.051258411147954
DVL2	17.10795	23.69295	0.469790943274162	0.0879140475144696
DVL3	24.7648	24.92435	0.00926491134821315	0.544928430527404
DYDC1	1.349655	0.86465	-0.642402501133154	0.152964707804703
DYM	18.5324	27.7187	0.580809870339161	0.0506839794730866
DYNC1H1	51.74775	42.432	-0.286343454813836	0.0179615960689885
DYNC1I2	29.09395	29.41415	0.015791166150766	0.644064884627342
DYNC1LI1	26.72245	31.18185	0.222654239996685	0.0871260768717526
DYNC1LI2	87.00745	92.3965	0.0866992662677035	0.219918298704805
DYNC2H1	1.23486	1.587315	0.362240968833972	0.224494934350523
DYNC2LI1	8.31711	6.9434	-0.260440027298593	0.248971125333128
DYNLL1	482.5235	405.558	-0.250690953538083	0.0383831980594253
DYNLL2	60.40335	85.21395	0.496461062670815	0.0442095116885467
DYNLRB1	221.328	172.7815	-0.357237222661725	0.0546091500166006
DYNLT1	214.351	177.019	-0.276070930130641	0.0319101842763841
DYNLT3	21.97105	16.22875	-0.437051935725523	0.0399242282252827
DYRK1A	9.809505	9.34982	-0.0692417471444263	0.238467590086955
DYRK1B	0.9259785	1.53173	0.726111412469226	0.118871672292718
DYRK2	4.58486	7.680065	0.744240839813555	0.0443012377482061
DYRK3	10.33	7.03242	-0.554747113389641	0.0289520761966175
DYRK4	9.90454	13.4915	0.445888879450296	0.113540102413656
DYSF	1.365375	0.52837	-1.36967678138817	0.0995738458518147
DYX1C1	2.592075	2.01839	-0.360902498573849	0.316017222995966
DZANK1	2.85388	2.30392	-0.308834051288037	0.16445776723943
DZIP1L	5.022235	3.33548	-0.590435145922375	0.0312213527106755
DZIP3	8.819765	6.20943	-0.506279375032984	0.0331603894412947
E2F1	11.24195	26.5283	1.23863992354171	0.0135206250428929
E2F2	1.08314	1.4382	0.409044585954017	0.0132825604554342
E2F3	10.76355	9.41933	-0.192457632258669	0.00682550721115502
E2F4	92.62925	84.1501	-0.138502846446614	0.0925954992514572
E2F5	5.746765	8.343255	0.537860285180497	0.00749159472070755
E2F6	8.28819	10.6217	0.35788570642023	0.00531315764869591
E2F7	3.84076	6.967785	0.859308292318129	0.00461716947822141
E2F8	0.744403	1.680565	1.17479056882638	0.0498204650475437
E4F1	14.04025	12.4547	-0.172878353047976	0.106331876387199
EAF1	20.3428	22.45765	0.142688703389456	0.0360176037061422
EAF2	4.70191	7.50222	0.67407064574933	0.125275240764607
EAPP	27.6078	23.64875	-0.2233119983968	0.0645019056701421
EARS2	21.77155	34.0027	0.643205186607352	0.0283226828075915
EBAG9	22.86645	26.13575	0.192792154177721	0.0632804168918367
EBLN2	1.714995	0.817106	-1.06960921941398	0.0661440619990555
EBNA1BP2	156.609	122.9735	-0.348819666219326	0.0385246327503807
EBP	121.232	114.661	-0.0803957916477455	0.479174480802989
EBPL	36.7703	43.0579	0.227737011575382	0.198037066704927
ECD	12.513	13.5862	0.118714279047815	0.189722505209574
ECE1	34.123	28.79395	-0.244978776314205	0.0338656393132892
ECE2	33.5808	49.74795	0.5670004764901	0.0245380718536925
ECH1	59.32485	60.05595	0.0176706393446695	0.81777025786989
ECHDC1	36.7887	52.56295	0.5147835497817	0.0193944873357084
ECHDC2	3.146445	1.54869	-1.02267433480632	0.0244571885632711
ECHDC3	23.61325	23.9721	0.0217596772850313	0.646555055425761
ECHS1	113.946	82.5619	-0.464802203574662	0.0787409597039596
ECI1	41.34915	35.8057	-0.20766840067773	0.289851022987386
ECI2	41.4679	18.5052	-1.16406426069374	0.0255764410128889
ECM1	1.533035	1.28188	-0.258129420885068	0.25733049521259
ECM2	0.2239	0.2917195	0.381727298268466	0.408746836924479
ECSIT	16.8625	35.7912	1.08578647177457	0.0100479041324343
ECT2	56.15905	80.49925	0.519456811033984	0.0469536347358808
EDC3	18.8165	31.06675	0.72337302234399	0.0062517376096855
EDC4	43.33565	36.9878	-0.228504851202413	0.101029727178324
EDEM1	26.7762	28.0117	0.0650783095546133	0.439555956342224
EDEM2	12.785	12.3315	-0.0521038611681488	0.537180252065235
EDEM3	10.20228	8.72007	-0.226479979597686	0.249622121403104
EDF1	427.8255	417.469	-0.0353534037432968	0.711598648011172
EDIL3	0.303231	0.3036135	0.00181868971777441	0.994812734167725
EDN1	0.997945	0.574047	-0.797791443983256	0.00665255959271518
EEA1	3.667105	4.235225	0.207797040775753	0.0522187384159436
EED	20.91285	24.276	0.215141040144717	0.0137408984085212
EEF1A1	2702.97	2984.86	0.143117766184116	0.0363357680767197
EEF1A2	21.2633	7.838465	-1.43972245080484	0.0286635564942554
EEF1B2	553.9475	730.1475	0.398438685691152	0.0455712743708506
EEF1D	321.0915	249.623	-0.363233605526089	0.0717394949551545
EEF1E1	81.8671	69.95535	-0.226849396161964	0.224635093899655
EEF1E1-MUTED	3.44712	4.05401	0.233958125294224	0.739839771071398
EEF1G	1425.895	1351.765	-0.0770233830490702	0.45665547413774
EEF2	932.816	1264.24	0.438605927456082	0.0441713303943698
EEF2K	10.12011	11.1476	0.139508170049677	0.0987244742811634
EEFSEC	22.9371	20.7239	-0.146387471808026	0.162475756429074
EFCAB10	3.4008	4.60551	0.437486760680881	0.217347176189793
EFCAB11	11.6677	10.004555	-0.221863199267455	0.358402381312279
EFCAB14	25.91795	21.28385	-0.284192470535902	0.0624722532494264
EFCAB2	4.9943	3.634505	-0.458523594132527	0.156078416279433
EFCAB4A	3.988545	4.46307	0.162173879446581	0.388410759434805
EFCAB7	1.85372	1.8805	0.0206929616154796	0.453389007321026
EFEMP1	21.8774	31.1149	0.508164317044864	0.01899047077259
EFEMP2	1.715325	0.9151015	-0.906478271219175	0.112338795218313
EFHA1	45.22225	49.927	0.142787446892413	0.0776084084741744
EFHA2	1.23136	1.12264	-0.133357240347828	0.505108904975419
EFHC1	3.070125	2.08201	-0.560320398062683	0.00978714099587
EFHD2	108.502	89.912	-0.2711360545715	0.10783065196581
EFNA1	9.191105	9.757865	0.086327203866472	0.502510227197949
EFNA3	4.50948	3.737985	-0.270700302346308	0.147093709842728
EFNA4	7.41268	7.277365	-0.026579061001331	0.826129997269001
EFNA5	1.19952	2.32322	0.953668565917117	0.00555763841320318
EFNB1	7.281165	14.5241	0.996207560489646	0.0104905128177082
EFNB2	22.0816	18.8093	-0.231398552395953	0.0526664166742974
EFR3A	28.03525	22.26475	-0.332480522317185	0.0786720741131347
EFR3B	1.47087	3.319975	1.17450263544729	0.0186829697738334
EFTUD1	16.38765	30.985	0.918960982476331	0.00947763989897755
EFTUD2	86.15275	105.726	0.295361452840197	0.0302708587169526
EGFL7	4.002595	2.735265	-0.549255032886209	0.1636408875341
EGFL8	1.80112	1.204195	-0.580825272049341	0.127838707786717
EGFR	38.48815	40.30665	0.0666035545308552	0.585467724408809
EGFR-AS1	2.30783	2.531015	0.133179101868108	0.486641571550677
EGLN1	29.8364	23.6793	-0.333447040311329	0.0553333347872576
EGLN2	21.1028	27.91695	0.403706898026294	0.102236108758494
EGLN3	4.154705	1.703835	-1.28596041253085	0.0150214767443611
EGR1	37.7472	17.54645	-1.10519045881636	0.0103537970684646
EGR2	1.328865	0.228416	-2.54045893128784	0.011467879498069
EGR3	1.145145	0.547922	-1.06348784954831	0.0268707457473444
EHBP1	11.2702	13.9605	0.308837495401275	0.0264716505058432
EHBP1L1	25.92165	13.1434	-0.979819026066351	0.00912273264533573
EHD1	52.3742	60.17805	0.200381056315415	0.0744065590000051
EHD2	19.94605	16.68645	-0.257426014152061	0.097122201930013
EHD3	1.62416	1.833865	0.175193675860242	0.246683586983577
EHD4	28.48905	28.78485	0.0149021801371486	0.805857102831154
EHF	2.71929	2.26105	-0.266237120827406	0.0213550677620461
EHHADH	1.699255	1.308325	-0.377181403788552	0.107030569011489
EHMT1	23.5307	24.69685	0.0697828036244146	0.271557377393234
EHMT2	17.4531	12.42075	-0.490731018872372	0.126960299340565
EI24	59.0243	92.07845	0.641554521226711	0.0026930934828359
EID1	109.0035	104.8645	-0.0558480973528577	0.229182667805023
EID2	19.9054	20.571	0.0474520652886349	0.658885444191966
EID2B	4.30958	3.896415	-0.145399930611268	0.313330536005114
EID3	1.053965	0.2380795	-2.14631165203456	0.00982185725651452
EIF1	298.524	437.8065	0.552446451590054	0.00109600103933421
EIF1AD	16.4697	15.34035	-0.102482876990589	0.200532393001093
EIF1AX	65.9454	80.59155	0.289356552276083	0.073510831423269
EIF1B	32.11	32.59305	0.0215416981814316	0.743046430168689
EIF2A	35.73905	50.76155	0.506234836640744	0.0244240818665194
EIF2AK1	48.79915	58.21035	0.254419673410603	0.0148211459072428
EIF2AK2	12.5599	17.6231	0.488642746797832	0.0215554735270611
EIF2AK3	6.178595	7.41365	0.262905197331832	0.175270954204066
EIF2AK4	29.6232	36.8963	0.316748654626633	0.0385754181445967
EIF2B1	44.49245	52.36185	0.234955526680849	0.0697653142729229
EIF2B2	44.45275	39.42265	-0.173247913944768	0.176057566996289
EIF2B3	34.87935	30.0859	-0.213285640088147	0.155019598381708
EIF2B4	25.6928	34.5518	0.427396747134081	0.0968028760304538
EIF2B5	30.06045	42.8331	0.510859488201046	0.0533151835484384
EIF2D	13.8107	17.558	0.346342074516063	0.228424554515689
EIF2S1	44.08295	51.8428	0.233922868184766	0.0704523337935268
EIF2S2	123.3225	133.189	0.111038894765536	0.0774654855163608
EIF2S3	108.576	117.539	0.114434289035658	0.235570049847473
EIF3A	72.3179	83.1424	0.201231608869622	0.0541770936467669
EIF3B	142.7035	153.693	0.107030739156586	0.216842423239163
EIF3D	107.2425	145.191	0.437075270883816	0.0978434176415473
EIF3E	266.463	262.776	-0.0201017032828579	0.648294716239257
EIF3F	103.9336	124.083	0.255643343572452	0.0643877514300273
EIF3G	100.49075	150.427	0.582000828297704	0.00723360169056321
EIF3H	211.542	186.217	-0.183959343058613	0.0434317068051835
EIF3I	228.9505	134.2995	-0.769581782095209	0.0267637056054426
EIF3J	67.95525	104.155	0.616075179856042	0.061695713873045
EIF3K	147.579	194.011	0.394651007084055	0.0574073097231427
EIF3L	123.323	156.4815	0.343550214344729	0.0166083169999048
EIF3M	180.9295	248.6445	0.458656865035204	0.0174168573942007
EIF4A1	1122.44	1270.75	0.1790419029834	0.0993681090496455
EIF4A2	196.5195	200.0005	0.0253311331423438	0.452276530627694
EIF4A3	111.145	85.67485	-0.375499382361947	0.0224975091889733
EIF4B	86.9945	121.626	0.48345556845529	0.00150808968858929
EIF4E	29.26705	41.56475	0.506083198908355	0.00567740578378718
EIF4E2	48.77225	49.0428	0.00798081969363727	0.939998424890747
EIF4E3	1.443455	1.213105	-0.250821703995367	0.0968961628556166
EIF4EBP1	93.08145	80.25455	-0.21391049728893	0.138822656604712
EIF4EBP2	23.1366	23.71325	0.035516532547586	0.657055343131207
EIF4EBP3	7.23329	16.60555	1.19894160874365	0.0468240302085519
EIF4ENIF1	6.493145	7.05847	0.120438070673489	0.0462504861469311
EIF4G1	197.47	240.483	0.284301418853555	0.0379846859339773
EIF4G2	335.107	525.735	0.649713960215001	0.00655551034809436
EIF4G3	36.1121	40.7331	0.17371929639462	0.126775258391814
EIF4H	222.3785	302.217	0.442567503633934	0.00889965482326945
EIF5	73.459	61.3952	-0.258813389534351	0.0602515145102957
EIF5A	538.161	600.228	0.157472776629044	0.116406259301023
EIF5A2	2.742375	2.457585	-0.158184547113859	0.262158117631919
EIF5B	57.54115	80.52185	0.484786264115092	0.0197111084298398
EIF6	189.558	200.6015	0.0816930492695763	0.0877520882032947
ELAC1	7.748855	6.94502	-0.158004299252295	0.0398879834950652
ELAC2	60.8914	76.08435	0.321361248907471	0.0851470873082504
ELAVL1	18.30215	24.4914	0.420262109412198	0.0613469479911466
ELF1	18.50535	12.96565	-0.513247888372341	0.00157734890325728
ELF2	6.290035	6.378895	0.0202384863889948	0.631884026223167
ELF3	13.95325	5.566465	-1.32576785892358	0.0240385303565982
ELF4	14.97395	11.27365	-0.40950015862003	0.0107735458809723
ELFN2	0.1508355	0.284308	0.914478679735654	0.10499603040373
ELK1	35.88145	37.4988	0.0636062366561756	0.193328639204524
ELK3	13.74075	24.7289	0.847737314929042	0.0205344074537575
ELK4	6.42849	5.5706	-0.206647173817257	0.116956544415836
ELL	6.24774	7.024215	0.169002587233882	0.336838247400344
ELL2	17.45665	20.947	0.262966911296724	0.0809734267345652
ELL3	5.623305	6.05281	0.106186766303523	0.539741487993413
ELMO2	12.6258	12.39965	-0.0260754044613018	0.378378763462154
ELMO3	36.41355	16.8151	-1.11471803903362	0.0299745712199297
ELMOD2	6.404185	9.67004	0.594506873296836	0.0647826679534119
ELMOD3	3.271365	4.94326	0.59557005373983	0.223342994019353
ELMSAN1	8.56164	5.501445	-0.638076570153882	0.00617184410995301
ELOF1	82.3279	94.99525	0.206473950244467	0.106043028805988
ELOVL1	111.011	62.8642	-0.820392071363418	0.00899241103142541
ELOVL3	1.524325	2.07968	0.448191026833266	0.160279870215207
ELOVL4	8.42125	6.39372	-0.397378828614064	0.0283400653549928
ELOVL5	46.42475	73.2895	0.658712380735454	0.048803046044608
ELOVL6	6.2402	5.34505	-0.223388824945468	0.0861780606906602
ELOVL7	8.016885	8.88518	0.148359223998509	0.115090316361946
ELP2	49.46805	61.6352	0.317257482164744	0.0176541079728375
ELP3	14.80685	13.27845	-0.157178005217633	0.192261961324859
ELP4	18.27125	21.8409	0.257456969605397	0.070744279557274
ELP5	19.92505	25.5685	0.359784181481333	0.018859294554047
ELP6	18.3428	24.62775	0.425070947819393	0.000799779947430113
EMB	1.956185	2.34453	0.261255924473957	0.122504132866506
EMBP1	1.0267505	0.4067765	-1.33577740949795	0.106917100061481
EMC1	22.5639	23.01675	0.0286676888735384	0.409868107964167
EMC10	108.064	106.5635	-0.0201726170101906	0.730296828306277
EMC2	30.97835	35.4723	0.195432572777823	0.0521182850025498
EMC3	117.775	113.1295	-0.0580581519773967	0.491559238988232
EMC4	133.7975	180.904	0.435173148452162	0.0122485246001593
EMC6	86.2473	100.9656	0.227312637361648	0.150669914368446
EMC7	141.2375	198.4825	0.490888622271411	0.0447454045817345
EMC8	31.12115	41.22455	0.405608373242683	0.0353405007783225
EMC9	23.04125	18.5434	-0.31331319425944	0.20567387159735
EMD	108.7555	92.06305	-0.240394218816067	0.105523303218347
EME1	10.60935	14.0822	0.408536467688739	0.0218597993319555
EME2	11.8372	6.454625	-0.87492267717436	0.0577548861233334
EMG1	75.8882	121.051	0.673667516655469	0.0198192570606329
EMILIN2	2.907885	2.901325	-0.0032583031052606	0.924959544470532
EMILIN3	1.40953	0.68731	-1.03618132902434	0.0368582313916221
EML1	0.09578185	1.57606	4.04042634736202	0.0177176156145774
EML2	13.4195	10.9331	-0.29562839428839	0.0828797923393527
EML3	12.8657	8.53935	-0.591331789914971	0.0580672457193934
EML4	18.49565	21.4197	0.211752271574082	0.0225123865926682
EML5	1.14489	1.7815	0.637883491330617	0.0894988959398405
EML6	1.402175	1.488655	0.0863430262734017	0.578930946765015
EMP1	120.0885	114.7505	-0.0655975613955319	0.372407748740642
EMP2	9.604665	9.702565	0.0146308978566367	0.900452876014812
EMP3	27.4909	21.6651	-0.34358124302813	0.0337548113098703
EMR2	1.823765	0.6990045	-1.38354619556939	0.000167923344478199
EN1	1.772025	4.138185	1.22359918537293	0.00478115476468678
ENAH	30.7763	33.48295	0.121606843613529	0.117058828565247
ENC1	4.4662	5.42066	0.27942066197347	0.0190550131417892
ENDOD1	14.999	16.5803	0.144603793004719	0.0049306750788941
ENDOG	25.61	25.0774	-0.0303194742352198	0.829229106975123
ENDOV	10.473885	6.607465	-0.664627886656199	0.0737179061698975
ENG	4.744855	3.44668	-0.461156639167876	0.038146540705294
ENGASE	7.23781	4.95558	-0.546499315964232	0.0502148396261394
ENKD1	11.8577	11.346	-0.063640432972954	0.439061773810317
ENO1	1875.765	1418.41	-0.40320448254124	0.0653664190062121
ENO1-AS1	6.28789	3.29917	-0.930472860220711	0.0307826468953138
ENO2	21.3116	38.69815	0.860625689021137	0.00378082984569242
ENO3	3.38984	4.83878	0.513426167171231	0.0605994819955212
ENOPH1	31.45225	44.9249	0.51435206550105	0.00892332205836214
ENOSF1	18.6806	25.69815	0.460123710548052	0.0270122136430866
ENOX1	0.611507	1.94889	1.67221174506738	0.0803721642581323
ENOX2	9.42665	11.25595	0.255870756422694	0.0410769283985456
ENPP1	1.2837	0.8427415	-0.607146008608866	0.0724509086143517
ENPP4	2.251095	3.36926	0.581804820813606	0.0257342716907883
ENPP5	3.01957	2.77654	-0.121054937932022	0.231361546157729
ENSA	129.4165	109.3045	-0.243668768831573	0.120229885106518
ENTHD2	6.837	5.52575	-0.30719313315569	0.245835833760109
ENTPD1	2.13951	2.948265	0.462585782469523	0.0726704981422199
ENTPD2	13.18465	8.291145	-0.669216018360007	0.073759551928881
ENTPD4	8.4194	6.46725	-0.380565044030523	0.00498798288908278
ENTPD5	5.58589	5.34197	-0.0644152897049475	0.521516577437488
ENTPD6	38.6083	48.84185	0.339206815874658	0.0231952049229348
ENTPD7	2.309895	1.78622	-0.370917491993653	0.0469393989486822
ENY2	38.47795	36.93405	-0.0590804684916624	0.603988694370847
EOGT	1.996875	2.977185	0.576204846268737	0.158847256151841
EOMES	1.08241	1.473865	0.445357312491555	0.0418681208953735
EP300	14.4377	15.85125	0.134755681313744	0.269842260178765
EP400	9.57045	12.5649	0.392740522764345	0.000356313752640017
EP400NL	3.16509	2.473895	-0.355462254542517	0.0941070859298891
EPAS1	66.5716	97.32525	0.547907302638358	0.023432929400915
EPB41	9.23749	9.11139	-0.0198297344338762	0.792727271334014
EPB41L1	1.600965	2.27324	0.505808238163505	0.0939979092180998
EPB41L2	17.30195	19.26595	0.155118682131859	0.0238202976485436
EPB41L4A	0.770272	1.692065	1.13534510180677	0.0600481792702742
EPB41L4A-AS1	7.26297	9.389495	0.370487945803786	0.132458481209877
EPB41L4B	2.27467	6.723815	1.56362277052193	0.00173049260520961
EPB41L5	14.6396	16.7396	0.193388919290446	0.0805719571409536
EPB49	2.25113	2.078055	-0.115415534429965	0.407418166736375
EPC1	3.180075	4.108185	0.369440359702047	0.099084604427977
EPC2	7.1112	10.85005	0.609536753773053	0.014442032803158
EPCAM	208.926	262.181	0.327571097482912	0.0448131236994815
EPDR1	9.36167	4.92477	-0.926709562366446	0.00510904609307977
EPG5	5.580045	6.268985	0.167955121150432	0.233224651527163
EPGN	0.733259	3.07841	2.06979061192112	0.00282134236815253
EPHA1	5.641755	3.85501	-0.549409413980496	0.0405143601720399
EPHA10	1.47132	3.24265	1.14006225784736	0.0131913063174309
EPHA2	103.8945	75.392	-0.462635933022208	0.00352703086552094
EPHA7	1.326005	0.401542	-1.72346341346417	0.00920990457679426
EPHB2	4.633195	3.70819	-0.321292236630054	0.00782979746999988
EPHB3	6.94318	5.37535	-0.369237878812382	0.00362738305399052
EPHB4	20.62365	28.96065	0.489794297669524	0.0578863876984079
EPHB6	0.814734	0.7624135	-0.0957554499781237	0.68169982348618
EPHX1	153.748	131.1595	-0.229245336484295	0.130717194664386
EPHX2	1.278225	0.989501	-0.369368739145781	0.0818831480829408
EPHX4	0.556436	0.7517365	0.434011292892922	0.0495848117871661
EPM2A	3.16015	4.21777	0.416487386268481	0.0486631917325315
EPM2AIP1	11.0706	9.179215	-0.270290729090085	0.0451219298512711
EPN1	77.87165	86.6222	0.15363861848717	0.133100412487296
EPN2	5.756815	5.975935	0.0538936052738135	0.190167431665219
EPN3	0.808892	1.74098	1.10588063191895	0.00204347847526497
EPOR	5.026295	5.346505	0.0891007652508319	0.156497507413963
EPPIN	0.9002955	1.053045	0.226096575000049	0.557255556716741
EPPK1	9.685005	8.824245	-0.134279946568181	0.154651083968292
EPRS	109.411	115.111	0.0732679123234085	0.108585925164781
EPS15	19.9982	16.5933	-0.269269320150079	0.0554901762909441
EPS15L1	15.0418	17.01635	0.177944393067481	0.016311670471113
EPS8	39.77305	43.49315	0.128997000472606	0.14347930669522
EPS8L1	3.669975	2.978565	-0.301152792646088	0.0328438396489493
EPS8L2	16.70145	7.716705	-1.11391650172003	0.0125767582006935
EPT1	8.83445	16.6022	0.910162203593335	0.0114216906137287
ERAL1	33.3551	44.49855	0.415850959576215	0.0700518692258504
ERAP1	3.85858	7.77547	1.01085986627945	0.00996327873984166
ERAP2	1.38785	1.971295	0.506292040061862	0.0278312716260148
ERBB2	11.44785	16.3354	0.512925108229233	0.00502612232781519
ERBB2IP	14.03275	13.812	-0.0228755225113207	0.758548321513943
ERBB3	8.40279	10.573395	0.331498350204927	0.182302574937754
ERC1	10.7604	16.08305	0.579809317399046	0.0499342968293172
ERCC1	20.0481	25.0041	0.318699161516049	0.0170669246735803
ERCC2	15.68975	10.92305	-0.522446614096822	0.00359681515950261
ERCC3	34.2083	42.4786	0.312389808536203	0.0954843441406659
ERCC4	2.70587	3.740495	0.467136673834699	0.112047948274216
ERCC5	8.71165	5.48934	-0.666313293322754	0.0574565727876278
ERCC6	8.82531	7.552965	-0.224603854198923	0.0140733492210883
ERCC6L	11.3377	15.464	0.447785542164817	0.011491992430721
ERCC6L2	4.33407	3.67309	-0.238728208550312	0.0416974107845668
ERCC8	2.564255	3.77237	0.556931448174791	0.0777839603165696
EREG	11.1877	4.14335	-1.43304387440653	0.0768907703350572
ERF	11.06075	12.7559	0.205715478527701	0.287959112238562
ERGIC1	27.49395	32.17265	0.22672058212199	0.0505823615237119
ERGIC2	17.878	26.6996	0.578632776131199	0.0122903567160754
ERGIC3	143.1935	123.914	-0.208626810998595	0.185746876265238
ERH	148.4265	169.491	0.191459974977579	0.100859435439202
ERI1	8.977105	13.8409	0.624615582167127	0.00263332451210745
ERI2	5.336775	8.1253	0.606452892622908	0.0221983852164844
ERI3	48.0857	28.58	-0.750602004455675	0.0526360229960744
ERICH1	6.729965	7.57619	0.170873510042017	0.27213541947195
ERLEC1	32.47605	34.0751	0.0693417199574215	0.0327972706225497
ERLIN1	18.21385	22.16375	0.283166091135347	0.0438859302856385
ERLIN2	10.902	10.76935	-0.017661648882635	0.802050649767695
ERMAP	4.64065	3.23405	-0.520984909117044	0.0857698943586175
ERMP1	32.1546	37.59555	0.225536764698695	0.107256902690925
ERN1	3.24987	2.97885	-0.1256265306816	0.325514905421585
ERO1L	52.69765	43.7027	-0.270016213990146	0.0444714445228229
ERO1LB	2.778015	3.324505	0.259085158240305	0.243562941722104
ERP27	2.24101	2.60871	0.219187487789592	0.0708200384865186
ERP29	91.85285	115.1755	0.326437470060132	0.0101793637098049
ERP44	29.2048	26.9572	-0.115534851022433	0.0422762441829621
ERRFI1	42.0424	21.5881	-0.961608752962434	0.0215974780057171
ERV3-1	18.19045	7.34137	-1.30906001326791	0.0126315514778919
ERVK13-1	3.679295	1.560335	-1.23757354859437	0.0219655243931715
ESCO1	13.3565	15.131	0.179965330926957	0.0242267573419542
ESCO2	8.241725	14.7408	0.838796591844767	0.00957237716779809
ESD	43.5914	45.12375	0.0498434289493266	0.33564871399655
ESF1	47.2469	61.13515	0.371782431040803	0.0695740887352879
ESPL1	13.5532	19.07225	0.492841530332918	0.0183543389186273
ESPN	15.38925	9.19691	-0.742701795643164	0.00480556383247794
ESRG	234.809	219.37	-0.0981214634976159	0.654036657122939
ESRP1	33.391	29.058	-0.200523891379349	0.0286632511799244
ESRP2	45.9907	34.539	-0.413115842937126	0.0121354956391989
ESRRA	45.0288	50.62245	0.168929301040297	0.142762655083744
ESYT1	49.71765	59.95315	0.270077450051989	0.138874784798161
ESYT2	32.6584	45.7462	0.486197795881875	0.0635060715171746
ETAA1	11.39435	9.92422	-0.199293004888585	0.0410094908706412
ETF1	88.1798	152.0855	0.786362501572775	0.00480466112460825
ETFA	161.3925	223.751	0.471320592835904	0.00316496503464382
ETFB	76.55915	68.52	-0.160049660930864	0.220822418300213
ETFDH	20.90405	21.3584	0.0310210954039948	0.644112818550798
ETHE1	29.54165	37.3725	0.339226667044156	0.109627746631989
ETNK1	22.3129	18.614	-0.261489919990871	0.0464631557346321
ETNK2	1.50345	0.5964075	-1.33390658406464	0.017674903360219
ETS1	11.2903	18.3885	0.703719978822772	0.00311886664071791
ETS2	12.34975	17.35335	0.490732359466891	0.0201488696139369
ETV1	2.721755	1.6917	-0.686063459058672	0.0418666684053769
ETV3	6.726235	5.66842	-0.246852526064028	0.0647544389144247
ETV4	27.504	39.6674	0.528312389197297	0.0268916013866659
ETV5	31.09345	24.82435	-0.324854758240158	0.0575284515022964
ETV6	2.694715	3.957885	0.554596996256954	0.0230679820121319
EVA1A	6.330065	6.269235	-0.0139309042940718	0.809506175420086
EVA1B	24.36775	6.819915	-1.83714738229239	0.0344571470278252
EVA1C	4.223035	8.78644	1.05699854324671	0.03514821496716
EVI2B	0.8070395	0.9026335	0.161501036225094	0.195796915353545
EVI5	4.40282	3.849785	-0.193649986468482	0.23321796984264
EVI5L	4.64056	5.871185	0.339352803253883	0.0206668404522341
EVPL	5.340975	3.457285	-0.627463594758277	0.0755814411048121
EWSR1	116.999	87.4757	-0.419541989638711	0.0270439652864461
EXD2	7.049805	9.622595	0.448842656624142	0.0318492067546024
EXO1	10.66265	22.9772	1.10763696474945	3.72975187882873e-05
EXO5	11.98105	6.72788	-0.832530470448252	0.0307498221069049
EXOC1	8.513305	8.44867	-0.0109950693019729	0.860989617479068
EXOC2	10.50625	6.46868	-0.699704568706373	0.00702118838879636
EXOC3	17.51595	23.62835	0.431849650784404	0.0220737767680672
EXOC3L1	0.9269815	0.6870015	-0.432227297885793	0.182372167307002
EXOC4	6.84794	9.549775	0.479796681302512	0.00349005576686074
EXOC5	15.1721	17.83475	0.233270207211489	0.18565690171485
EXOC6	5.845695	8.104485	0.471345954229231	0.0153468399211462
EXOC6B	16.0399	15.5248	-0.0470904645240037	0.44862027097352
EXOC7	18.32135	12.41535	-0.561400878680131	0.0623834126784713
EXOC8	23.53865	15.78075	-0.576865807729798	0.0142343194837577
EXOG	2.689285	3.370265	0.325639378751908	0.0728814697737043
EXOSC1	17.6124	17.8363	0.0182248553695839	0.877289398713358
EXOSC10	24.2078	26.541	0.132750755495842	0.0975416971339212
EXOSC2	37.12625	48.4354	0.383622255421265	0.0127216245326078
EXOSC3	11.805	22.2385	0.913661439141328	0.0364962555988762
EXOSC4	33.79485	32.58395	-0.0526419051969669	0.303733735067427
EXOSC5	26.3938	43.5519	0.722536584322302	0.0756287907465935
EXOSC6	19.1661	20.41135	0.0908148037906938	0.568376393159838
EXOSC7	35.12855	48.1624	0.45526325769433	0.0690981453105627
EXOSC8	14.7681	16.96995	0.20049808702732	0.0309225550275071
EXOSC9	16.09935	32.04825	0.993243138680972	0.00319264523692454
EXPH5	1.29884	1.251645	-0.0533982872968268	0.698248264306527
EXT1	28.78975	21.3097	-0.434044978238137	0.0226236487684027
EXT2	53.2657	67.1074	0.333265042000115	0.07969281301287
EXTL2	10.15535	6.423355	-0.660841025101583	0.000296745975903419
EXTL3	10.7734	12.5871	0.224472307270326	0.0708853903056288
EYA3	12.59325	7.56668	-0.734918315301817	0.0363760263596426
EYA4	0.6786	0.185731	-1.86934679725429	0.0357885662615347
