SUM159R_DMSO_24H_0	SUM159R_DMSO_24H_1	SUM159R_DMSO_3H_0	SUM159R_DMSO_3H_1	SUM159R_JQ1_24H_0	SUM159R_JQ1_24H_1	SUM159R_JQ1_3H_0	SUM159R_JQ1_3H_1	SUM159_DMSO_12H_0	SUM159_DMSO_12H_1	SUM159_DMSO_24H_0	SUM159_DMSO_24H_1	SUM159_DMSO_3H_0	SUM159_DMSO_3H_1	SUM159_JQ1_12H_0	SUM159_JQ1_12H_1	SUM159_JQ1_24H_0	SUM159_JQ1_24H_1	SUM159_JQ1_3H_0	SUM159_JQ1_3H_1
COQ4	16.4636	20.5642	22.1612	23.3472	15.3702	22.5091	22.4183	20.6572	19.2756	12.4907	8.51239	11.8406	12.2315	19.1247	12.43	19.3287	18.6497	12.9677	22.4436	14.1186
COQ5	35.4338	35.4735	35.5982	40.0382	35.805	32.2651	34.3113	37.8623	25.9178	29.3445	53.6386	46.3015	27.2199	22.1367	39.7039	32.9857	44.5091	54.0144	22.3228	25.1931
COQ6	10.4321	10.4198	14.1292	13.808	11.8205	12.5152	15.4009	14.6528	9.02115	9.9281	10.326	9.12052	9.04221	9.90458	12.2768	12.2044	12.3945	13.0814	11.2815	11.0816
COQ7	4.68856	5.63009	7.81139	7.79206	4.64399	4.70385	6.1483	6.61022	5.8039	5.38872	4.26824	4.84489	6.68155	6.56724	5.53566	5.65227	4.22783	4.65469	5.42565	5.35061
COQ9	37.2687	35.9143	47.6295	46.6725	35.7915	40.1308	43.4915	43.6549	39.8421	38.7348	44.4942	40.0497	33.6147	38.2678	36.7968	38.2039	39.1141	40.6229	38.4969	29.3884
CORIN	0.0360802	0.0346886	0.0496873	0.0647558	0.084751	0.0514438	0.0336079	0.0724711	0.108318	0.156076	0.0543159	0.137437	0.128244	0.12328	0.326779	0.28674	0.138343	0.268152	0.248782	0.270673
CORO1A	3.34254	4.42085	4.56254	4.15176	2.33392	3.58506	4.84322	4.41196	2.09343	1.50821	1.79711	1.16209	1.10248	1.84305	2.65121	3.31076	1.75267	1.28519	3.01378	2.33991
CORO1B	29.6351	48.7518	32.9038	30.9694	24.3933	52.0235	31.8119	30.9744	30.1398	18.6388	24.8522	30.9333	12.7397	26.9195	23.471	34.7001	56.0974	31.9665	30.3021	16.6063
CORO1C	63.5202	61.1779	80.1279	80.4014	57.0935	54.4229	83.6393	87.011	62.2506	64.9451	43.9513	41.6924	81.5829	79.3473	74.4176	73.4661	40.3209	47.7533	94.7827	98.4035
CORO2A	2.44026	2.2581	1.365	1.35742	2.91953	2.76507	1.54146	1.37633	0.614545	0.768987	1.45972	1.07431	0.441856	0.464754	1.15075	0.979903	2.30702	2.47333	0.573077	0.609858
CORO2B	7.70072	7.18479	3.76056	3.33261	7.90724	8.15676	3.70303	3.0715	5.39504	5.45922	8.32441	7.57539	5.28585	5.89281	4.42628	5.16012	7.02315	7.56191	4.84179	3.87375
CORO6	0.0974392	0.0749448	0	0.0139905	0.0665836	0.0648344	0	0.0156574	0.20059	0.180644	0.498736	0.828939	0.213131	0.110978	0.231278	0.298279	1.35651	0.965571	0.179165	0.141767
CORO7	3.55704	5.38723	4.6584	4.04432	2.98427	5.73121	3.76937	3.08126	4.17718	3.14045	2.78033	4.00831	2.14451	4.73012	3.05843	4.82359	6.06502	3.47122	3.90113	2.118
CORO7-PAM16	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.789632	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
CORT	0.280943	0.224543	0.188132	0.229971	0.188506	0.134528	0.174474	0.237975	0.25762	0.0871794	0.214065	0.202506	0.244801	0.259734	0.143005	0.202436	0.890226	0.136369	0.430481	0.501842
COTL1	218.482	224.309	160.963	156.018	206.415	231.585	150.019	142.557	192.327	173.841	110.694	102.754	169.312	209.262	220.735	243.205	186.908	165.376	278.605	227.441
COX10	3.52831	3.19153	3.89839	4.47389	2.3223	2.34477	2.84549	3.26432	6.47211	6.63559	6.73722	6.80733	7.61734	7.0716	3.92116	4.51383	3.74822	4.42302	6.28902	5.61124
COX10-AS1	4.22455	4.77004	4.76548	4.79613	6.39876	5.95341	4.59397	4.16381	5.35119	6.39004	5.84208	6.03459	5.96333	5.56682	5.44626	5.14741	5.36081	6.21997	4.74198	5.5166
COX11	31.5004	38.1415	60.8294	64.9098	32.2852	35.6994	64.4697	67.3214	52.4096	45.6665	45.6941	51.4737	45.9771	53.2073	59.652	66.9672	56.7966	45.9615	53.734	54.4441
COX14	34.2877	29.6787	56.9333	66.3323	29.4876	27.9266	58.3361	62.5097	45.0587	49.4593	63.9009	60.4949	44.2241	47.1467	48.5468	43.9092	37.128	39.6352	50.4814	56.1975
COX15	7.89715	7.48785	7.78126	7.22501	8.77543	7.76156	7.53352	7.58289	7.29995	8.16248	7.907	7.28052	7.75389	6.85994	8.43509	7.65569	7.86087	9.26097	6.40548	7.27925
COX16	31.191	26.0182	46.9293	56.9995	28.9843	21.7242	48.4084	55.0131	31.2195	39.275	43.4373	34.526	41.4161	31.5584	43.9728	33.6164	28.3806	28.9968	35.8589	56.1727
COX17	130.93	141.201	215.809	261.255	107.336	114.717	220.143	251.151	157.775	174.604	239.111	200.933	138.925	158.456	174.045	167.134	145.032	132.344	183.109	191.984
COX18	2.86958	3.66585	3.95483	4.05626	3.34702	3.40488	3.87117	3.70478	5.74327	5.60737	6.39051	6.69672	5.59493	5.3645	5.74806	5.31835	4.91483	5.10977	4.99048	4.96685
COX19	2.67163	3.40725	5.0507	5.45285	3.45808	4.11695	5.00091	5.06224	3.19626	3.10477	2.93752	3.0681	3.73959	4.28905	4.07223	4.56798	4.85167	4.67846	4.35315	3.84724
COX20	3.84936	4.15647	4.32706	5.26618	3.16977	2.94623	4.37034	5.29571	3.88058	4.39358	2.56696	2.49725	5.31458	4.66165	4.00638	3.76546	3.28194	2.69635	5.60832	5.61461
COX4I1	294.673	300.074	403.158	412.309	258.824	299.396	420.781	446.924	312.572	272.106	343.575	339.63	258.949	314.537	296.863	325.638	295.038	294.396	365.698	287.762
COX4I2	0	0	0	0	0	0	0	0.0715332	0	0	0	0	0	0	0	0	0	0	0	0
COX5A	203.999	235.134	246.664	259.781	191.823	244.958	274.948	282.711	217.348	179.119	160.327	186.273	184.308	219.593	181.424	225.846	201.59	184.721	264.799	241.421
COX5B	193.515	318.049	432.496	469.986	186.396	339.55	465.199	515.601	281.398	166.089	237.461	450.506	153.568	290.178	195.545	343.099	406.868	234.331	323.34	192.624
COX6A1	365.807	372.54	514.464	571.504	382.889	443.808	537.051	560.94	356.341	304.57	421.5	459.466	266.205	352.684	411.793	485.59	597.084	491.511	456.956	372.24
COX6A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1	297.267	320.396	421.965	468.551	236.894	289.828	451.699	486.482	351.183	301.177	395.511	420.539	270.502	311.901	352.896	401.942	317.537	320.602	427.141	319.042
COX6B2	0.0878753	0.131423	0.053785	0.168231	0.200161	0.236667	0.174622	0.305946	0.134001	0.162914	0.529158	0.613683	0.192212	0.0667233	0.439112	0.293144	0.483816	0.419273	0.269299	0.292995
COX6C	126.123	126.378	146.656	178.907	132.677	128.752	161.319	172.879	96.6963	97.8307	165.192	159.878	106.907	100.912	138.31	124.739	119.967	136.111	115.82	130.026
COX7A1	0	0	0.140629	0	0.130838	0.0364002	0.114144	0	0.0437959	0	0	0.0486234	0	0.130844	0.0956772	0	0	0	0.0502946	0
COX7A2	217.752	166.519	300.49	352.284	226.599	172.819	330.166	362.158	159.517	192.212	291.357	287.215	216.605	156.228	263.883	198.918	254.482	256.353	180.972	257.251
COX7A2L	91.5312	90.5746	132.483	153.641	100.808	87.8752	134.56	155.797	89.2402	98.9068	116.583	111.987	100.875	87.4	109.153	98.4499	89.3713	100.832	106.615	130.037
COX7B	450.243	545.757	729.472	880.461	437.889	510.429	757.715	831.673	833.588	716.606	930.546	1059.3	712.006	786.681	932.567	1028.27	752.674	769.472	1078.89	930.177
COX7B2	0.126063	0.242402	0.154317	0.090502	0	0	0.0939401	0	0.64879	0.701133	3.22623	1.44061	0.965095	1.364	1.81107	1.92951	0.594915	1.80443	1.32455	1.7195
COX7C	970.042	813.444	1387.76	1677.77	999.184	843.547	1440.38	1603.05	834.407	1014.1	1646.31	1566.41	1036.27	868.229	1169.49	972.488	1134.27	1245.34	906.667	1314.23
COX8A	409.581	587.784	625.945	700.68	293.35	528.084	649.102	682.516	415.924	278.996	349.488	504.66	216.414	407.135	297.504	455.165	520.828	322.388	456.894	284.336
COX8C	0	0.0837658	0.15998	0	0.111631	0.0621131	0	0.105002	0	0	0.393485	0	0	0.0744238	0.163263	0	0	0.287791	0	0.11884
CP	5.1462	5.28465	2.97271	3.21256	4.99088	4.17506	3.26573	2.98883	3.99085	4.69334	11.5765	10.3206	4.78472	3.63467	4.78493	4.07155	4.60056	6.47839	3.58871	5.10697
CPA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPA2	0	0	0.023251	0.081816	0	0.0180547	0	0.091564	0.065169	0.0704268	0	0.0964699	0.0415462	0.0216331	0.0711847	0.0894527	0.0448181	0	0.149678	0.0345437
CPA3	0	0	0	0	0	0	0	0	0	0.0178447	0.0434708	0	0	0	0	0	0	0	0	0
CPA4	17.0915	15.6408	30.8625	27.37	20.3005	19.2623	36.4781	36.0187	29.1804	30.3824	23.2431	22.8543	33.9324	32.8318	49.517	46.2832	42.1041	47.8479	32.5114	32.0503
CPA5	0.165546	0.136426	0.1158	0.0921889	0.343421	0.224807	0.15861	0.103173	0.176668	0.158714	0.320426	0.196142	0.0561744	0.094274	0.118177	0.125301	0.362728	0.260414	0.23612	0.129032
CPA6	0	0	0.0153868	0	0	0	0	0	0.244385	0.155354	0.908285	0.654366	0.329927	0.186109	0.188431	0.162791	0.207614	0.249117	0.280648	0.274319
CPAMD8	0.0147777	0.0189436	0.01	0	0.0252452	0.0280937	0.01	0.01	0.01	0.0273966	0.0778631	0.0656732	0.0161618	0.0126232	0.0184609	0.0173989	0.0697384	0.0894904	0.029113	0.01
CPB1	0	0	0	0	0	0	0	0.027338	0	0	0.102447	0	0	0	0	0	0	0	0	0
CPB2	0.0820808	0.0350733	0.0334923	0.0589266	0	0.0390108	0.0815535	0.0439649	0.0469369	0.0169079	0.0411887	0.0694808	0.0299229	0.0934853	0.102539	0.0805334	0	0.0301251	0.0539016	0.0497591
CPB2-AS1	0.255229	0.123052	0.121501	0.203591	0.327013	0.242513	0.116229	0.125315	0.14595	0.105149	0.341535	0.180042	0.124059	0.088822	0.345415	0.267279	0.368819	0.344212	0.25141	0.2063
CPD	35.4305	32.3811	24.6429	24.2245	45.1796	36.6567	27.3388	26.3612	26.4236	31.247	47.3676	45.2033	34.3207	25.4536	34.2556	29.1902	53.2939	66.7298	29.5608	41.4347
CPE	3.95854	3.96598	2.03474	2.33144	5.48223	6.38393	2.10498	2.4857	32.1195	31.1602	61.3862	58.6565	38.4594	35.751	36.4888	36.0299	50.0579	56.5766	40.747	42.0771
CPEB1	0.0297164	0	0.0363991	0.0106614	0	0.0282644	0.0110664	0.0477806	0.0169929	0.0459436	0.0447356	0.01	0	0.0169226	0.0557298	0.01	0	0.049099	0.0292837	0.0135041
CPEB2	1.27038	1.2338	1.52089	1.40593	1.98385	1.75559	2.02827	1.87967	1.37785	1.71471	1.58865	1.48079	2.28741	1.78868	1.90252	1.71782	2.61896	2.91128	2.04069	2.86335
CPEB3	0.465501	0.413989	0.214214	0.213876	0.61742	0.652646	0.229733	0.202468	0.339885	0.291711	0.253553	0.355803	0.418982	0.430536	0.286656	0.275548	0.564396	0.627974	0.183173	0.189226
CPEB4	6.47411	5.94921	5.36984	5.14262	7.97648	6.73121	6.30622	6.15929	3.4437	4.46514	5.57901	4.83829	6.14137	4.74203	6.13991	5.29117	8.19798	9.63506	7.95761	10.4694
CPED1	22.1222	22.2246	23.9002	29.6233	18.4689	16.7792	25.9597	26.9203	68.3457	74.7082	59.9518	57.9962	76.7114	60.0384	63.6906	59.5133	46.5669	55.7936	85.8768	102.987
CPLX1	0	0.0141489	0.0135111	0.0475431	0	0.0314747	0.0164497	0.106415	0.0883624	0	0.132927	0.224234	0.0241424	0.188564	0	0.0129952	0.0781312	0	0.0434889	0
CPLX2	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPLX3	0	0	0	0	0	0.0112343	0	0	0	0	0	0	0	0.0269219	0	0.0556608	0	0	0.0155226	0
CPLX4	0	0.0155638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPM	0.232533	0.149043	0.23586	0.209868	0.340508	0.173675	0.212889	0.208181	0.250756	0.409861	0.449923	0.455567	0.297913	0.256582	0.322818	0.301172	0.462414	0.424295	0.308998	0.326247
CPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPN2	0	0.01	0.0185252	0	0.0129265	0.0143851	0	0	0	0.01	0	0.0192155	0.0165509	0	0	0.01	0.0178544	0.0166627	0.01	0
CPNE1	84.5189	79.5913	83.6505	82.7969	98.7461	101.842	93.8782	92.3849	39.3203	38.8999	51.3176	49.2071	35.0297	36.9945	48.9989	48.0631	78.6487	82.6867	42.8894	38.1603
CPNE2	16.6619	17.5209	19.2388	17.8144	16.5652	18.3344	15.986	15.2101	4.02503	3.89531	6.0731	5.40245	4.412	5.36045	2.95292	3.30254	8.20513	6.61645	5.53294	4.48995
CPNE3	48.7898	47.731	68.2905	78.3953	55.9005	50.9929	83.9635	85.3999	35.9709	38.6349	44.4423	41.3682	45.115	36.2451	56.2188	52.6445	43.3554	51.3371	46.4155	56.5168
CPNE4	0.0180553	0	0	0	0	0.0171624	0	0	0.0825975	0.0557883	0.217446	0.0917019	0.098732	0.0925377	0.1015	0.0212579	0.106508	0.278317	0.0711403	0.0328365
CPNE5	0.0545287	0.0349504	0	0.02936	0.0349325	0.0712692	0	0.0219054	0.0623632	0.0842432	0.0820888	0.12982	0.0596361	0.0931577	0.0255449	0.0481507	0.0160832	0.0750488	0.071617	0.074377
CPNE6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295619	0.0278612	0	0	0	0
CPNE7	0.46036	0.676201	3.86813	3.52531	0.133965	0.443999	3.0303	3.54463	5.15875	3.16838	2.46401	2.22855	4.46838	6.63618	2.02961	3.02052	2.51543	1.85856	6.688	4.07278
CPNE8	6.16713	6.42548	4.62597	5.45423	6.96018	7.37134	4.92808	5.37665	6.03273	6.71406	7.36805	8.38879	8.15112	5.55196	7.50756	6.67398	7.22951	8.20619	4.36872	5.52444
CPNE9	0	0	0	0	0	0	0	0	0	0.0286289	0	0.0441175	0	0	0	0.0272723	0	0.0255043	0	0
CPO	0	0	0	0	0	0	0.0950641	0	0.0243168	0.0262786	0	0.0539943	0	0.0484323	0.0531228	0.0500667	0.0501695	0	0.1117	0.116005
CPOX	28.4571	30.6619	24.2466	23.2957	25.779	26.0363	22.5406	22.7678	28.6433	30.2584	21.8566	21.2509	30.1709	28.0585	30.4561	28.5936	23.8517	24.8521	29.0732	34.968
CPPED1	8.38998	7.8985	7.96993	7.91283	7.61113	7.99904	7.53926	7.77779	3.46262	3.25652	3.11991	3.09936	3.54223	3.39049	5.57185	5.28237	6.09145	6.51121	3.4197	3.50199
CPQ	3.83924	4.19303	2.90639	3.15515	5.4584	4.54971	3.04915	3.53107	1.71878	2.34133	3.99253	3.91269	2.70714	2.22949	3.01337	2.30472	3.57593	4.00472	2.47143	2.8021
CPS1	10.8139	8.30555	3.78079	3.81779	9.27656	8.09747	4.59431	4.5152	6.51578	7.8786	14.0887	12.8905	6.56101	5.36033	8.0214	6.50273	11.3883	13.8073	6.80147	7.38385
CPS1-IT1	0	0	0	0	0	0	0	0	0	0	0	0.012914	0	0	0	0	0	0	0	0
CPSF1	16.7959	19.8643	11.2801	9.31166	14.1934	22.2103	9.50208	8.68424	16.5487	11.389	11.8026	11.8459	9.17364	15.079	11.7667	17.0482	15.2438	11.0016	15.3474	9.35769
CPSF2	24.2568	23.6279	23.2667	26.4333	17.3524	15.9557	21.1113	22.5503	31.959	35.1775	19.9699	18.5267	37.292	28.817	26.7438	24.4094	13.9413	17.7377	26.9753	31.3818
CPSF3	54.7486	54.8977	56.9085	55.7213	50.8987	47.5615	60.189	61.6832	40.0698	40.4569	38.3485	35.4549	40.5463	36.5898	39.448	36.7518	25.9848	27.8536	38.4492	41.0001
CPSF3L	28.0217	31.0443	28.4905	25.7779	24.6351	31.8569	27.0749	24.8771	30.6771	25.3717	24.1742	26.1586	24.3547	33.1099	27.533	32.9816	34.1915	27.6271	36.1941	24.7152
CPSF4	19.7241	21.2987	26.1037	23.883	15.6067	22.1751	23.309	23.0346	21.41	18.3199	13.9978	13.5056	18.2462	22.8666	17.1871	20.4549	14.7495	12.3345	22.1176	17.9327
CPSF4L	0.771753	0.680155	1.00376	0.623305	0.412004	0.921866	0.790758	0.620061	1.37912	1.01346	0.43568	0.796189	1.26606	0.773422	1.08462	1.13581	0.455255	1.48705	1.20366	0.964946
CPSF6	18.5225	20.0744	13.9477	14.6181	18.9412	18.8229	15.2082	15.0906	18.7978	18.4567	13.335	13.4562	26.6502	24.2236	19.3173	19.2615	14.9014	16.2258	34.2277	35.9953
CPSF7	38.4916	33.3458	33.4698	29.4357	43.8262	39.0136	29.2063	28.1945	27.7653	29.0781	18.3237	17.4855	33.8414	34.3875	24.1687	22.8322	19.3044	22.5777	22.6488	22.262
CPT1A	4.67702	4.33021	2.49493	2.0357	5.38417	5.51091	2.35278	2.33947	2.64942	2.5749	3.13468	3.30235	1.88894	2.06943	2.35804	2.42946	4.05999	3.50426	2.53699	2.33989
CPT1B	8.96994	7.32557	1.66284	1.373	7.41138	8.81589	1.52377	1.12506	7.16022	6.65208	10.0978	7.93888	4.57239	5.03822	5.38139	4.85219	9.26257	8.66341	2.61595	2.5534
CPT1C	0.538894	0.456355	0.253359	0.308916	0.495019	0.562466	0.333146	0.279372	1.28773	1.29953	4.02256	4.33405	0.742469	0.919734	0.858334	0.955269	3.48407	3.20556	0.924759	1.01047
CPT2	9.21283	9.25085	8.51705	8.28075	9.42296	9.32385	7.94516	7.55646	10.7394	10.6829	11.554	11.3881	7.4072	8.93496	14.7143	15.931	15.5275	17.2103	8.02131	7.5169
CPVL	2.55788	2.13685	3.02968	3.01912	2.3076	2.96059	2.82942	3.46367	1.84587	2.18326	4.41314	4.48858	2.20024	1.66941	2.19012	1.98686	3.35685	4.90489	2.18931	2.69184
CPXCR1	0	0	0	0	0	0	0	0	0.0528525	0	0.0463687	0.0586783	0	0	0	0	0	0.0339137	0	0
CPXM1	0	0.0138754	0	0	0	0.01	0	0	0.100158	0.053515	0.0977737	0.0412333	0.0236757	0.099825	0.0540909	0.0458264	0.076625	0.0476732	0.0426505	0
CPXM2	0	0	0	0	0	0	0	0	0	0	0.0365552	0.01	0	0	0	0	0	0	0	0
CPZ	0.268008	0.281905	0.333341	0.195508	0.0536718	0.308652	0.249768	0.30296	0.551057	0.543731	0.806936	1.52995	0.496035	0.477196	0.437804	0.65715	0.94856	0.968775	0.614939	0.457187
CR1	0.0152412	0.0162816	0.0155476	0.0255311	0.0216977	0.0169022	0.0378586	0.028573	0.0232415	0.0251166	0.0152961	0.0129016	0.0166687	0.017359	0.0158667	0.0358897	0.0239754	0.0335629	0.013345	0.0138593
CR1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR2	0	0	0	0	0	0	0.01	0.0181226	0.0128984	0	0	0	0.012333	0	0.014089	0	0	0	0.01	0.0102543
CRABP1	0	0	0	0	0	0	0	0	0	0	0.226535	0	0	0	0	0	0	0	0	0
CRABP2	1.42621	1.30592	2.94731	3.06089	1.92816	1.89673	3.34142	3.76271	3.35685	3.71976	2.86946	2.39989	4.11438	5.25592	6.2349	6.64396	6.45773	4.7497	7.29367	6.705
CRADD	22.7146	24.2743	40.512	48.2976	12.8729	13.3552	50.2618	53.1796	52.5524	49.0625	108.404	111.948	50.3018	55.6739	45.9824	47.1722	63.1791	56.3323	61.6909	63.5056
CRAMP1L	3.02689	3.21272	1.81762	1.38844	3.61674	4.08465	1.70128	1.45273	3.26219	3.0657	1.78308	2.1796	3.09138	3.62993	3.10942	3.71538	3.19308	3.12487	4.43388	4.03242
CRAT	1.96836	2.11136	0.939302	0.69902	1.33935	2.56367	0.770398	0.688991	1.15458	0.871882	3.5152	4.21773	0.784467	1.27292	1.5184	1.90379	4.93973	3.87483	1.38002	0.894946
CRB1	0.0267605	0.0169089	0.0189539	0	0.01	0.0254314	0.0199414	0.0282607	0.01	0.01	0.0529524	0.0223312	0	0.01	0.01	0.0155302	0.142056	0.193645	0.0230991	0
CRB2	0.01	0.01	0	0	0	0.01	0	0.01	0	0	0	0.01	0.01	0.0134288	0	0	0.0185473	0	0.01	0
CRB3	0	0.148925	0	0	0	0.0362051	0	0	0	0.0470756	0	0	0	0	0.0475822	0.0448447	0	0.0838754	0	0
CRBN	8.16423	8.25098	9.90766	12.0572	9.54433	9.36176	10.1531	10.7748	7.99708	7.98946	14.366	16.1424	10.6537	8.99271	9.30503	8.61187	13.372	15.397	7.65594	10.4547
CRCP	13.5272	11.5291	20.8677	20.0662	15.8384	13.3898	19.0668	18.8539	15.0438	16.2366	12.5654	11.896	18.3616	17.3464	14.6527	12.7626	11.2173	11.5455	11.8399	12.9971
CRCT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB1	8.18248	7.70145	7.39251	7.8784	9.3554	7.87697	8.87678	9.34017	5.61048	6.24351	4.66892	4.40248	6.41826	5.15402	7.4666	6.60315	5.84778	6.43599	5.48991	7.18127
CREB3	28.8804	28.6563	33.9396	31.6125	27.9268	27.2425	35.0564	35.9836	21.9308	21.4232	21.4065	18.0387	21.4542	20.2146	28.4124	26.8542	24.797	24.5705	24.2649	23.6663
CREB3L1	14.0666	16.0002	2.89461	2.71119	7.11741	9.61656	2.24618	2.32437	28.302	22.203	33.668	36.7777	15.0242	23.6567	18.395	25.4035	30.9228	25.7499	26.677	16.0678
CREB3L2	22.1168	19.3738	10.5334	8.80477	22.9202	20.8787	10.1052	8.57212	16.9395	18.3344	23.086	21.0441	21.0466	19.3835	18.0788	17.3082	19.8234	20.7638	14.3286	14.4336
CREB3L3	0.0555705	0.0237446	0	0.0132962	0	0.0352156	0.0138013	0.0712122	1.16519	0.8335	8.34672	7.94086	0.506494	0.39025	0.354659	0.708698	5.07532	5.28597	0.442334	0.30321
CREB3L4	4.07795	3.54319	2.07815	1.84041	2.65454	3.04582	1.92777	2.51033	3.92125	4.47154	13.0862	10.3986	2.36361	2.85741	3.81007	3.80043	5.12427	5.04838	3.1344	2.94907
CREB5	3.36975	2.77733	7.28734	6.6111	4.54357	3.66558	7.45273	6.82835	2.52951	2.6844	1.61066	1.30204	5.38849	4.58855	1.87838	1.81257	1.61977	1.72229	4.81394	5.79296
CREBBP	5.20526	5.26357	1.84036	1.50152	4.81881	5.28145	1.42754	1.0861	5.95055	5.24929	3.61222	3.90477	5.61328	6.72254	3.62476	4.20741	4.41537	3.74863	4.34232	3.61707
CREBL2	11.4801	12.761	10.9826	12.5184	13.1021	12.9814	12.32	13.5351	8.50937	9.28532	10.148	10.2206	8.79668	7.82864	10.1008	9.87467	12.0503	12.7597	7.44385	9.14529
CREBRF	1.3059	1.13141	0.388343	0.392729	1.65711	1.51496	0.496583	0.37156	0.790363	0.884301	2.79323	2.66524	0.60445	0.527458	1.4608	0.913219	2.35453	2.79899	0.687132	1.05869
CREBZF	17.2557	20.1696	12.3614	11.8044	27.4674	27.1435	12.614	12.0959	12.4969	12.4665	16.6402	16.064	12.9087	12.3526	14.2328	13.6193	21.6555	20.8469	10.6266	13.7856
CREG1	61.1364	58.0939	105.521	122.573	94.0975	83.3101	117.191	117.868	38.597	42.3056	54.3383	58.1533	51.18	39.8673	65.6145	56.5759	72.3498	71.9139	53.0473	73.0714
CREG2	0.0780821	0.1418	0.183199	0.168168	0.0333476	0.0371103	0.155161	0.0941019	0.327435	0.249305	0.117546	0.12393	0.284652	0.251971	0.170701	0.176203	0.0614139	0.0286575	0.239287	0.153839
CRELD1	6.33665	6.84216	2.72346	2.95603	7.97816	9.12275	3.17985	3.09585	3.39685	3.23838	7.8682	6.74625	2.5857	3.32966	5.18272	4.85149	14.9365	12.3254	3.67582	3.7092
CRELD2	13.1717	17.507	17.2635	15.6682	9.66782	13.7628	20.2133	17.0368	37.4716	27.2427	22.0864	24.019	24.5876	38.3634	24.35	32.172	19.4844	15.1137	49.297	30.687
CREM	13.5541	14.076	11.9712	12.7267	11.6339	10.8456	15.5701	14.9948	15.3749	17.1703	11.9977	10.2278	15.5338	13.8767	16.8953	17.52	7.4104	9.659	15.7353	19.4724
CRH	0	0	0	0	0	0	0	0	0.0198686	0	0	0	0	0	0	0	0	0.0382563	0	0
CRHBP	0	0.0335279	0.0320165	0.0563301	0.0223405	0	0.05847	0.0420277	0.0747812	0.145466	0.118121	0.0664192	0.171626	0.0297887	0.0326736	0.123176	0.0308571	0.0287977	0.171755	0.1427
CRHR1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
CRHR1-IT1	0.359451	0.448861	0.335613	0.206519	0.420149	0.26079	0.197368	0.182399	0.741085	1.07022	2.29061	2.209	0.622452	0.411228	0.567867	0.256155	1.58079	0.880746	0.387235	0.627817
CRHR2	0.0158238	0	0.0360174	0	0.0135162	0.0278632	0	0.0127136	0.01	0	0	0	0.0159685	0.01	0.0197708	0.0279514	0	0	0.0192492	0.0398312
CRIM1	30.881	29.0592	27.3622	23.7813	41.7099	40.4657	29.1021	25.4843	30.2827	31.0798	23.0362	21.3366	41.268	39.5737	37.7287	36.6936	31.5002	34.6543	41.1865	42.9229
CRIP1	0.155967	0	0.763692	0	0.266445	0.296509	0.232448	0	0.089188	0.192767	1.64358	1.18823	0	0.177638	0.0974208	0.0918163	1.47208	0.343457	0.307267	0.425478
CRIP2	6.80512	11.6319	18.4794	17.0681	4.66162	8.81582	12.9442	13.6389	6.2002	3.17392	8.04101	11.3601	3.36974	7.90204	3.72873	10.2123	31.3877	12.6542	7.07354	3.46784
CRIP3	0.284151	0.437107	0.208701	0.122397	0.728139	0.567208	0.169395	0.0913199	0.129991	0.210717	0.427767	0.757675	0.186459	0.0647264	0.14199	0.167277	1.13982	0.563158	0.149279	0.361743
CRIPAK	1.59293	1.51211	0.96263	0.87578	2.10123	2.16103	1.11941	0.955824	1.64308	1.48281	1.83647	1.79218	1.53263	1.63054	2.08442	2.00012	2.62869	2.29783	1.40358	1.22848
CRIPT	11.5444	12.098	12.8346	15.6449	13.8861	13.1066	13.7866	15.7059	7.47128	8.65957	12.9124	11.8723	9.27157	6.65941	12.7865	11.0968	11.4726	11.0638	8.62903	13.74
CRISP1	0	0	0.01649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISP2	0.111856	0.233714	0.114113	0.160619	0.222958	0.212664	0.166721	0.0599081	1.15139	1.591	2.28319	3.47385	1.65342	1.1535	1.3523	1.07589	1.31988	1.67785	1.31419	1.47824
CRISP3	0	0.0136145	0.0129626	0	0	0.0100656	0	0.0170158	0.425123	0.472526	1.66278	1.24064	0.789834	0.762035	0.371492	0.312608	0.275659	0.163712	0.599772	0.907806
CRISPLD1	0.549105	0.710543	0.475593	0.617344	0.63717	0.610583	0.671678	0.674249	1.80698	2.08721	1.74685	1.51941	1.541	1.4042	1.37193	1.05514	0.733394	1.26622	1.27908	1.43201
